site,type,kelp,seagrass,water25m,freshwater,sandgravel,rockyshore
chp,s,10,0,600,1050,0,10
fan1,a,30,0,600,7000,0,100
fan3,s,160,0,1100,7500,0,320
gog1,a,650,0,2800,19000,0,300
gog4,a,150,15,1250,15000,0,40
hab2,a,150,1700,750,1950,0,200
hab4,a,1250,3400,400,220,0,115
kis1,a,5,0,95,5500,0,5
kis2,a,5,3000,175,4450,0,10
koe1,a,400,400,475,250,0,180
koe3,a,5,0,250,5,0,5
pba,s,3200,0,820,400,0,150
ppo,s,2300,0,210,1600,0,10
sni1,a,3000,0,700,200,0,125
sni2,a,1650,950,130,2100,0,0
ssp,s,335,10,560,850,0,200
wfb,s,420,350,1350,300,0,200
hdo,s,3280,0,1000,450,0,90
