,site,year,month,day,replicate,species,stage,length,comments,entered,checked
1,wfb,2020,7,20,2,pasa,3,64,,AO,
2,ppo,2018,5,29,1,thst,3,47,,,
3,koe3,2015,9,13,2,chum,2,715,,ben,zach
4,koe1,2020,7,23,2,stfl,3,654,,ZM,
5,ssp,2015,7,28,2,stfl,3,645,,ben,zach
6,koe1,2020,7,23,2,stfl,3,630,,ZM,
7,wfb,2018,5,31,1,stfl,3,604,,,
8,ssp,2015,7,1,2,stfl,3,590,,,ben
9,ssp,2016,8,2,2,stfl,3,584,,midoli,ben
10,koe1,2020,7,23,2,stfl,3,582,,ZM,
11,ssp,2015,5,31,2,stfl,2,580,,zach,ben
12,ssp,2015,7,28,1,stfl,3,580,,ben,zach
13,koe1,2020,7,23,2,stfl,3,570,,ZM,
14,ssp,2017,7,8,1,stfl,3,565,,nap,nap
15,koe1,2020,7,23,2,stfl,3,555,,ZM,
16,wfb,2014,7,9,1,stfl,3,550,,midoli,midoli
17,ssp,2015,7,28,1,stfl,3,550,,ben,zach
18,ssp,2017,6,13,1,stfl,3,550,,neha,
19,koe1,2020,7,23,2,stfl,3,543,,ZM,
20,koe1,2015,6,1,2,stfl,3,540,,midoli,ben
21,koe1,2020,7,23,2,stfl,3,534,,ZM,
22,koe1,2015,6,1,2,stfl,3,528,,midoli,ben
23,ssp,2015,7,28,1,stfl,3,520,,ben,zach
24,wfb,2014,7,9,1,stfl,3,510,,midoli,midoli
25,ssp,2015,7,28,1,stfl,3,510,,ben,zach
26,koe3,2017,7,27,1,stfl,3,510,,jg,jg
27,wfb,2018,7,12,1,stfl,3,504,,op,
28,ssp,2016,9,17,1,stfl,3,501,,ben,
29,koe1,2015,6,1,2,stfl,3,500,,midoli,ben
30,cas1,2015,6,15,1,stfl,2,500,,zach,ben
31,koe1,2015,7,31,2,stfl,3,500,,zach,kaia
32,koe1,2015,9,13,2,stfl,3,500,,zach,zach
33,gog4,2018,7,14,1,enso,3,498,,TF,
34,koe1,2019,8,4,2,stfl,3,485,,TF,KB
35,ssp,2016,9,17,1,stfl,3,484,,ben,
36,ssp,2015,7,28,1,stfl,3,480,,ben,zach
37,ris2,2015,8,16,2,pink,2,470,,ben,midoli
38,ssp,2019,7,30,2,stfl,3,470,,KB,TF
39,wfb,2014,7,9,1,stfl,3,460,,midoli,midoli
40,wfb,2014,7,9,1,stfl,3,460,,midoli,midoli
41,chp,2017,7,10,1,kegr,3,455,,kdb,nap
42,koe1,2014,7,24,2,stfl,3,450,,midoli,ben
43,wfb,2015,7,1,1,stfl,3,450,,,ben
44,ssp,2015,7,28,2,stfl,3,450,,ben,zach
45,ssp,2017,6,13,1,stfl,3,450,,neha,
46,gog1,2015,8,15,1,cqbr,1,448,,zach,ben
47,koe1,2014,7,24,2,stfl,3,440,,midoli,ben
48,chp,2018,8,25,2,rogr,3,435,,,
49,chp,2014,8,14,2,kegr,3,430,,ben,carolyn
50,ssp,2015,7,28,1,stfl,3,430,,ben,zach
51,koe1,2021,7,11,2,stfl,3,430,,CP,RO
52,ssp,2016,8,2,2,stfl,3,425,,midoli,ben
53,koe1,2019,8,4,2,stfl,3,425,,TF,KB
54,koe1,2021,7,11,2,stfl,3,425,,CP,RO
55,wfb,2014,7,9,1,stfl,3,420,,midoli,midoli
56,koe1,2015,7,8,2,stfl,3,415,,ben,ben
57,koe1,2019,8,4,2,stfl,3,415,,TF,KB
58,wfb,2014,7,9,1,stfl,3,410,,midoli,midoli
59,koe1,2014,7,24,2,stfl,3,410,,midoli,ben
60,hab2,2016,8,5,2,saso,3,405,,midoli,kaia
61,wfb,2018,7,12,1,stfl,3,405,,op,
62,koe1,2021,7,11,2,stfl,3,402,,CP,RO
63,sni1,2014,7,14,1,snpr,3,400,,midoli,ben
64,koe1,2014,7,24,2,stfl,3,400,,midoli,ben
65,chp,2016,4,8,1,kegr,3,400,,zach,midoli
66,ssp,2016,7,4,1,saso,3,400,,kaia,midoli
67,wfb,2017,6,13,1,stfl,3,400,,neha,
68,ssp,2017,6,13,1,stfl,3,400,,neha,
69,ssp,2017,7,8,2,stfl,3,400,,nap,nap
70,hdo,2018,8,23,1,grsc,3,400,,,
71,koe1,2015,7,31,1,stfl,3,396,,zach,kaia
72,wfb,2014,7,9,1,stfl,3,390,,midoli,midoli
73,wfb,2015,5,2,2,stfl,2,390,,ben,ben
74,koe1,2015,6,1,2,dova,3,390,,midoli,ben
75,koe1,2021,7,11,2,stfl,3,388,,CP,RO
76,ssp,2017,6,13,1,kegr,3,387,,neha,
77,koe1,2021,7,11,2,stfl,3,386,,CP,RO
78,wfb,2018,7,12,1,stfl,3,382,,op,
