"","ss10","ss11","ss12","ss13","ss15","ss16","ss17","ss19","ss22","ss23","ss24","ss25","ss26","ss27","ss28","ss29","ss30","ss31","ss32","ss33","ss34","ss35","ss36","ss37","ss47","ss48","ss49","ss50","ss52","ss53","ss54","ss55","ss6","ss61","ss63","ss66","ss67","ss68","ss69","ss7","ss77","ss78","ss79","ss8","ss80","ss9"
"ASV1",0.999997217779999,0.999997217779999,0.999997217779999,0.999997217779999,0.999997217779999,0.999997217779999,0.999997217779999,0.999997217779999,0.999997217779999,0.999997217779999,0.999997217779999,0.999997217779999,0.999997217779999,0.999997217779999,0.999997217779999,0.999997217779999,0.999997217779999,0.999997217779999,0.999997217779999,0.999997217779999,0.999997217779999,0.999997217779999,0.999997217779999,0.999997217779999,0.999997217779999,0.999997217779999,0.999997217779999,0.999997217779999,0.999997217779999,0.999997217779999,0.999997217779999,0.999997217779999,0.999997217779999,0.999997217779999,0.999997217779999,0.999997217779999,0.999997217779999,0.999997217779999,0.999997217779999,0.999997217779999,0.999997217779999,0.999997217779999,0.999997217779999,0.999997217779999,0.999997217779999,0.999997217779999
"ASV2",0.999996947769183,0.999996947769183,0.999996947769183,0.999996947769183,0.999996947769183,0.999996947769183,0.999996947769183,0.999996947769183,0.999996947769183,0.999996947769183,0.999996947769183,0.999996947769183,0.999996947769183,0.999996947769183,0.999996947769183,0.999996947769183,0.999996947769183,0.999996947769183,0.999996947769183,0.999996947769183,0.999996947769183,0.999996947769183,0.999996947769183,0.999996947769183,0.999996947769183,0.999996947769183,0.999996947769183,0.999996947769183,0.999996947769183,0.999996947769183,0.999996947769183,0.999996947769183,0.997412291226178,0.999996947769183,0.999996947769183,0.999996947769183,0.999996947769183,0.999996947769183,0.999996947769183,0.999996947769183,0.999996947769183,0.997412291226178,0.999996947769183,0.999996947769183,0.999996947769183,0.999996947769183
"ASV3",0.00353502944621562,0.00353502944621562,0.00353502944621562,0.999528012452728,0.230002051990784,0.00353502944621562,0.00353502944621562,0.00353502944621562,0.961760377615143,0.999528012452728,0.999528012452728,0.999528012452728,0.00353502944621562,0.00353502944621562,0.00353502944621562,0.230002051990784,0.999528012452728,0.961760377615143,0.999528012452728,0.999528012452728,0.999528012452728,0.999528012452728,0.999528012452728,0.999528012452728,0.999528012452728,0.999528012452728,0.999528012452728,0.999528012452728,0.961760377615143,0.961760377615143,0.999528012452728,0.999528012452728,0.230002051990784,0.230002051990784,0.00353502944621562,0.230002051990784,0.00353502944621562,0.961760377615143,0.999528012452728,0.00353502944621562,0.00353502944621562,0.00353502944621562,0.00353502944621562,0.230002051990784,0.961760377615143,0.230002051990784
"ASV4",0.999986794028443,0.999986794028443,0.995691895843589,0.999986794028443,0.999986794028443,0.999986794028443,0.999986794028443,0.413637461728741,0.999986794028443,0.999986794028443,0.999986794028443,0.999986794028443,0.999986794028443,0.999986794028443,0.999986794028443,0.999986794028443,0.999986794028443,0.999986794028443,0.995691895843589,0.999986794028443,0.999986794028443,0.999986794028443,0.999986794028443,0.999986794028443,0.999986794028443,0.999986794028443,0.999986794028443,0.413637461728741,0.999986794028443,0.995691895843589,0.999986794028443,0.999986794028443,0.999986794028443,0.999986794028443,0.999986794028443,0.999986794028443,0.999986794028443,0.999986794028443,0.999986794028443,0.999986794028443,0.999986794028443,0.999986794028443,0.999986794028443,0.999986794028443,0.999986794028443,0.999986794028443
"ASV5",0.999917567103142,0.999917567103142,0.999917567103142,0.993988972633765,0.999917567103142,0.999917567103142,0.999917567103142,0.0298144040920788,0.692709537462209,0.692709537462209,0.692709537462209,0.0298144040920788,0.999917567103142,0.999917567103142,0.999917567103142,0.999917567103142,0.692709537462209,0.692709537462209,0.999917567103142,0.999917567103142,0.999917567103142,0.999917567103142,0.999917567103142,0.999917567103142,0.0298144040920788,0.993988972633765,0.993988972633765,0.993988972633765,0.993988972633765,0.993988972633765,0.0298144040920788,0.999917567103142,0.999917567103142,0.692709537462209,0.993988972633765,0.999917567103142,0.999917567103142,0.999917567103142,0.692709537462209,0.999917567103142,0.999917567103142,0.999917567103142,0.999917567103142,0.993988972633765,0.999917567103142,0.993988972633765
"ASV6",0.999904201796902,0.999904201796902,0.999904201796902,0.999904201796902,0.999904201796902,0.999904201796902,0.999904201796902,0.429544754016139,0.98884589624884,0.00635493374329295,0.98884589624884,0.98884589624884,0.98884589624884,0.999904201796902,0.999904201796902,0.999904201796902,0.999904201796902,0.999904201796902,0.00635493374329295,0.999904201796902,0.98884589624884,0.999904201796902,0.999904201796902,0.98884589624884,0.429544754016139,0.00635493374329295,0.999904201796902,0.98884589624884,0.00635493374329295,0.00635493374329295,0.429544754016139,0.429544754016139,0.999904201796902,0.00635493374329295,0.00635493374329295,0.999904201796902,0.999904201796902,0.999904201796902,0.999904201796902,0.999904201796902,0.999904201796902,0.98884589624884,0.999904201796902,0.999904201796902,0.999904201796902,0.999904201796902
"ASV7",0.921847770391945,0.921847770391945,0.921847770391945,0.921847770391945,0.310653703356935,0.99677151307408,0.921847770391945,0.921847770391945,0.921847770391945,0.999876271163884,0.999876271163884,0.99677151307408,0.921847770391945,0.99677151307408,0.999876271163884,0.921847770391945,0.999876271163884,0.99677151307408,0.99677151307408,0.999876271163884,0.999876271163884,0.999876271163884,0.999876271163884,0.999876271163884,0.921847770391945,0.310653703356935,0.999876271163884,0.99677151307408,0.921847770391945,0.921847770391945,0.99677151307408,0.310653703356935,0.921847770391945,0.310653703356935,0.99677151307408,0.999876271163884,0.310653703356935,0.999876271163884,0.99677151307408,0.921847770391945,0.99677151307408,0.99677151307408,0.310653703356935,0.921847770391945,0.921847770391945,0.999876271163884
"ASV8",0.999804664812304,0.999804664812304,0.999804664812304,0.999804664812304,0.291766121845163,0.00368228807941429,0.00368228807941429,0.999804664812304,0.291766121845163,0.978686864816697,0.999804664812304,0.291766121845163,0.999804664812304,0.999804664812304,0.999804664812304,0.999804664812304,0.999804664812304,0.999804664812304,0.999804664812304,0.999804664812304,0.999804664812304,0.999804664812304,0.999804664812304,0.999804664812304,0.999804664812304,0.978686864816697,0.999804664812304,0.978686864816697,0.999804664812304,0.999804664812304,0.999804664812304,0.978686864816697,0.00368228807941429,0.999804664812304,0.999804664812304,0.978686864816697,0.00368228807941429,0.999804664812304,0.00368228807941429,0.00368228807941429,0.291766121845163,0.00368228807941429,0.978686864816697,0.291766121845163,0.291766121845163,0.999804664812304
"ASV9",0.964285108139921,0.999715000182496,0.999715000182496,0.999715000182496,0.172059855855633,0.00159702228163956,0.172059855855633,0.999715000182496,0.964285108139921,0.999715000182496,0.999715000182496,0.999715000182496,0.172059855855633,0.00159702228163956,0.999715000182496,0.172059855855633,0.00159702228163956,0.964285108139921,0.999715000182496,0.999715000182496,0.999715000182496,0.999715000182496,0.999715000182496,0.999715000182496,0.999715000182496,0.964285108139921,0.999715000182496,0.999715000182496,0.999715000182496,0.964285108139921,0.999715000182496,0.999715000182496,0.00159702228163956,0.999715000182496,0.00159702228163956,0.172059855855633,0.00159702228163956,0.999715000182496,0.00159702228163956,0.00159702228163956,0.999715000182496,0.00159702228163956,0.999715000182496,0.172059855855633,0.999715000182496,0.00159702228163956
"ASV10",0.987025637541474,0.987025637541474,0.987025637541474,0.987025637541474,0.043712944225999,0.043712944225999,0.987025637541474,0.65093540589937,0.65093540589937,0.043712944225999,0.65093540589937,0.999677887657503,0.043712944225999,0.987025637541474,0.65093540589937,0.987025637541474,0.999677887657503,0.999677887657503,0.043712944225999,0.999677887657503,0.043712944225999,0.999677887657503,0.999677887657503,0.65093540589937,0.043712944225999,0.043712944225999,0.999677887657503,0.043712944225999,0.65093540589937,0.043712944225999,0.043712944225999,0.043712944225999,0.65093540589937,0.65093540589937,0.043712944225999,0.999677887657503,0.999677887657503,0.987025637541474,0.987025637541474,0.65093540589937,0.999677887657503,0.999677887657503,0.987025637541474,0.987025637541474,0.999677887657503,0.999677887657503
"ASV11",0.999955111087798,0.999955111087798,0.999955111087798,0.999955111087798,0.997111066689126,0.999955111087798,0.0765180061256699,0.999955111087798,0.997111066689126,0.999955111087798,0.999955111087798,0.999955111087798,0.999955111087798,0.997111066689126,0.997111066689126,0.999955111087798,0.997111066689126,0.999955111087798,0.997111066689126,0.999955111087798,0.0765180061256699,0.997111066689126,0.999955111087798,0.999955111087798,0.999955111087798,0.997111066689126,0.999955111087798,0.999955111087798,0.999955111087798,0.997111066689126,0.999955111087798,0.999955111087798,0.997111066689126,0.999955111087798,0.999955111087798,0.842463718456581,0.997111066689126,0.842463718456581,0.842463718456581,0.997111066689126,0.842463718456581,0.842463718456581,0.842463718456581,0.842463718456581,0.0765180061256699,0.999955111087798
