"","psi","p11","p10","PoO.0","PoO.1","PoO.2","PoO.3"
"ASV1",0.979260530661587,0.992872379659255,0.0504728535089371,1.99711675988806e-05,0.0497342533711851,0.99276170811436,0.999997217779999
"ASV2",0.978793569097307,0.978541388221197,0.0509166638931998,0.000533192123264033,0.311985754280921,0.997412291226178,0.999996947769183
"ASV3",0.553506884373461,0.868339245034326,0.0726391421158219,0.00353502944621562,0.230002051990784,0.961760377615143,0.999528012452728
"ASV4",0.957045413144404,0.957031368618724,0.0636540250147226,0.00214849543534022,0.413637461728741,0.995691895843589,0.999986794028443
"ASV5",0.851709152569946,0.836500077696913,0.0651984237023389,0.0298144040920788,0.692709537462209,0.993988972633765,0.999917567103142
"ASV6",0.786009712017203,0.887231280856088,0.0626394282195398,0.00635493374329295,0.429544754016139,0.98884589624884,0.999904201796902
"ASV7",0.870352398712673,0.617164040416581,0.0580166146757728,0.310653703356935,0.921847770391945,0.99677151307408,0.999876271163884
"ASV8",0.744834272318307,0.899889840086262,0.0746260108515786,0.00368228807941429,0.291766121845163,0.978686864816697,0.999804664812304
"ASV9",0.6661465840049,0.914140179657803,0.0757426070762956,0.00159702228163956,0.172059855855633,0.964285108139921,0.999715000182496
"ASV10",0.653021518571432,0.728251082694476,0.0616413132392641,0.043712944225999,0.65093540589937,0.987025637541474,0.999677887657503
"ASV11",0.897739110293527,0.801080153154869,0.058732121788342,0.0765180061256699,0.842463718456581,0.997111066689126,0.999955111087798
"ASV12",0.895600669005696,0.82778088925994,0.0653847091786694,0.0509396441942162,0.786674698302312,0.996068613853429,0.999942556517614
"ASV13",0.70708230783742,0.617397578207221,0.0610419606821502,0.140388399983552,0.802129659414615,0.990159742247421,0.999599785843025
"ASV14",0.628429287434173,0.781307772920249,0.0717879113260098,0.0216407192979483,0.505386702601279,0.979253145923562,0.999541569570549
"ASV15",0.852223274265305,0.658640331234463,0.0506180919472007,0.211404956519664,0.906553893312959,0.997159720897655,0.999921297085341
"ASV16",0.568294483711308,0.892147392666402,0.0789814787840151,0.00210938394289098,0.169367695837829,0.951617151428619,0.999473193337442
"ASV17",0.571881060645798,0.851859031897924,0.0774681973107509,0.00550081702609831,0.274714789597697,0.962876664366638,0.9994372941491
