level,LCT,class,order,family,genus,species,all_species
species,Ammodytes personatus,Actinopterygii,Perciformes,Ammodytidae,Ammodytes,Ammodytes personatus,Ammodytes personatus
species,Amphistichus rhodoterus,Actinopterygii,Perciformes,Embiotocidae,Amphistichus,Amphistichus rhodoterus,Amphistichus rhodoterus
species,Anarrhichthys ocellatus,Actinopterygii,Perciformes,Anarhichadidae,Anarrhichthys,Anarrhichthys ocellatus,Anarrhichthys ocellatus
species,Apodichthys flavidus,Actinopterygii,Perciformes,Pholidae,Apodichthys,Apodichthys flavidus,Apodichthys flavidus
species,Artedius fenestralis,Actinopterygii,Scorpaeniformes,Cottidae,Artedius,Artedius fenestralis,Artedius fenestralis
species,Artedius harringtoni,Actinopterygii,Scorpaeniformes,Cottidae,Artedius,Artedius harringtoni,Artedius harringtoni
species,Artedius lateralis,Actinopterygii,Scorpaeniformes,Cottidae,Artedius,Artedius lateralis,Artedius lateralis
species,Ascelichthys rhodorus,Actinopterygii,Scorpaeniformes,Cottidae,Ascelichthys,Ascelichthys rhodorus,Ascelichthys rhodorus
species,Aulorhynchus flavidus,Actinopterygii,Gasterosteiformes,Aulorhynchidae,Aulorhynchus,Aulorhynchus flavidus,Aulorhynchus flavidus
species,Blepsias cirrhosus,Actinopterygii,Scorpaeniformes,Hemitripteridae,Blepsias,Blepsias cirrhosus,Blepsias cirrhosus
species,Brachyistius frenatus,Actinopterygii,Perciformes,Embiotocidae,Brachyistius,Brachyistius frenatus,Brachyistius frenatus
species,Citharichthys sordidus,Actinopterygii,Pleuronectiformes,Paralichthyidae,Citharichthys,Citharichthys sordidus,Citharichthys sordidus
species,Citharichthys stigmaeus,Actinopterygii,Pleuronectiformes,Paralichthyidae,Citharichthys,Citharichthys stigmaeus,Citharichthys stigmaeus
species,Clevelandia ios,Actinopterygii,Perciformes,Gobiidae,Clevelandia,Clevelandia ios,Clevelandia ios
species,Clinocottus globiceps,Actinopterygii,Scorpaeniformes,Cottidae,Clinocottus,Clinocottus globiceps,Clinocottus globiceps
species,Clupea pallasii,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,Clupea pallasii
species,Cottus asper,Actinopterygii,Scorpaeniformes,Cottidae,Cottus,Cottus asper,Cottus asper
species,Cymatogaster aggregata,Actinopterygii,Perciformes,Embiotocidae,Cymatogaster,Cymatogaster aggregata,Cymatogaster aggregata
species,Embiotoca lateralis,Actinopterygii,Perciformes,Embiotocidae,Embiotoca,Embiotoca lateralis,Embiotoca lateralis
species,Engraulis mordax,Actinopterygii,Clupeiformes,Engraulidae,Engraulis,Engraulis mordax,Engraulis mordax
species,Enophrys bison,Actinopterygii,Scorpaeniformes,Cottidae,Enophrys,Enophrys bison,Enophrys bison
species,Gadus chalcogrammus,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus chalcogrammus,Gadus chalcogrammus
species,Gasterosteus aculeatus,Actinopterygii,Gasterosteiformes,Gasterosteidae,Gasterosteus,Gasterosteus aculeatus,Gasterosteus aculeatus
species,Gibbonsia montereyensis,Actinopterygii,Perciformes,Clinidae,Gibbonsia,Gibbonsia montereyensis,Gibbonsia montereyensis
species,Gobiesox maeandricus,Actinopterygii,Gobiesociformes,Gobiesocidae,Gobiesox,Gobiesox maeandricus,Gobiesox maeandricus
species,Hemilepidotus hemilepidotus,Actinopterygii,Scorpaeniformes,Cottidae,Hemilepidotus,Hemilepidotus hemilepidotus,Hemilepidotus hemilepidotus
species,Hexagrammos decagrammus,Actinopterygii,Scorpaeniformes,Hexagrammidae,Hexagrammos,Hexagrammos decagrammus,Hexagrammos decagrammus
species,Hippoglossus stenolepis,Actinopterygii,Pleuronectiformes,Pleuronectidae,Hippoglossus,Hippoglossus stenolepis,Hippoglossus stenolepis
species,Hydrolagus colliei,Holocephali,Chimaeriformes,Chimaeridae,Hydrolagus,Hydrolagus colliei,Hydrolagus colliei
species,Icosteus aenigmaticus,Actinopterygii,Perciformes,Icosteidae,Icosteus,Icosteus aenigmaticus,Icosteus aenigmaticus
species,Jordania zonope,Actinopterygii,Scorpaeniformes,Cottidae,Jordania,Jordania zonope,Jordania zonope
species,Leptocottus armatus,Actinopterygii,Scorpaeniformes,Cottidae,Leptocottus,Leptocottus armatus,Leptocottus armatus
species,Liparis cyclopus,Actinopterygii,Scorpaeniformes,Liparidae,Liparis,Liparis cyclopus,Liparis cyclopus
species,Liparis florae,Actinopterygii,Scorpaeniformes,Liparidae,Liparis,Liparis florae,Liparis florae
species,Liparis mucosus,Actinopterygii,Scorpaeniformes,Liparidae,Liparis,Liparis mucosus,Liparis mucosus
species,Lumpenus sagitta,Actinopterygii,Perciformes,Stichaeidae,Lumpenus,Lumpenus sagitta,Lumpenus sagitta
species,Merluccius productus,Actinopterygii,Gadiformes,Merlucciidae,Merluccius,Merluccius productus,Merluccius productus
species,Microgadus proximus,Actinopterygii,Gadiformes,Gadidae,Microgadus,Microgadus proximus,Microgadus proximus
species,Microstomus pacificus,Actinopterygii,Pleuronectiformes,Pleuronectidae,Microstomus,Microstomus pacificus,Microstomus pacificus
species,Mola mola,Actinopterygii,Tetraodontiformes,Molidae,Mola,Mola mola,Mola mola
species,Nautichthys oculofasciatus,Actinopterygii,Scorpaeniformes,Hemitripteridae,Nautichthys,Nautichthys oculofasciatus,Nautichthys oculofasciatus
species,Oncorhynchus clarkii,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus clarkii,Oncorhynchus clarkii
species,Oncorhynchus gorbuscha,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus gorbuscha,Oncorhynchus gorbuscha
species,Oncorhynchus keta,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus keta,Oncorhynchus keta
