fid,Ownership,Program,Project Name,Site Name,GPS Level,Point Name,Ocean Name,Substrate,Biotic Subclass,Biotic Community,Status,Public,Boat Lat,Boat Long,Decimal Lat,Decimal Long,End Transect Decimal Lat,End Transect Decimal Lon,Established,Survey Type,Survey Frequency,Depth_m,Primary Sampling Method,Transect Bearing,Transect Distance,Last Updated,Other Structure,Bolt,Temperature Logger,Logger Type,Notes,Student Projects,field_33,field_34,field_35,field_36,field_37,field_38,field_39,field_40,field_41
"391",Hakai,Nearshore,EDNA,Koeye,plot,edna_ko_e3_00,NA,sand,seagrass meadow,Zostera marina,active,yes,51 46.7701008000002,127 52.2984779999996,51.77950168,-127.8716413,NA,NA,"2018",observation,annual,,nalgene ,,,6/19/2018 4:31:15 PM,,,,,,"Ben Millard Martin, Sunday Lab 2020",,,,,,,,,
"392",Hakai,Nearshore,EDNA,Koeye,plot,edna_ko_e3_15,NA,sand,seagrass meadow,Zostera marina,active,yes,51 46.7660321999999,127 52.3072740000001,51.77943387,-127.8717879,NA,NA,"2018",observation,annual,,nalgene ,,,6/19/2018 4:33:21 PM,,,,,,"Ben Millard Martin, Sunday Lab 2020",,,,,,,,,
"393",Hakai,Nearshore,EDNA,Koeye,plot,edna_ko_e3_30,NA,sand,seagrass meadow,Zostera marina,active,yes,51 46.7577894,127 52.3148400000002,51.77929649,-127.871914,NA,NA,"2018",observation,annual,,nalgene ,,,6/19/2018 4:46:10 PM,,,,,,"Ben Millard Martin, Sunday Lab 2020",,,,,,,,,
"394",Hakai,Nearshore,EDNA,Choked Passage,plot,edna_ch_i3_00,NA,sand,seagrass meadow,Zostera marina,active,yes,51 40.5178788000002,128 7.15955400000041,51.67529798,-128.1193259,NA,NA,"2018",observation,annual,,nalgene ,,,6/19/2018 11:03:07 PM,,,,,,"Ben Millard Martin, Sunday Lab 2020",,,,,,,,,
"395",Hakai,Nearshore,EDNA,Choked Passage,plot,edna_ch_i3_15,NA,sand,seagrass meadow,Zostera marina,active,yes,51 40.5191057999998,128 7.17343200000016,51.67531843,-128.1195572,NA,NA,"2018",observation,annual,,nalgene ,,,6/19/2018 11:15:06 PM,,,,,,"Ben Millard Martin, Sunday Lab 2020",,,,,,,,,
"396",Hakai,Nearshore,EDNA,Choked Passage,plot,edna_ch_i3_30,NA,sand,seagrass meadow,Zostera marina,active,yes,51 40.5199332000001,128 7.18700399999932,51.67533222,-128.1197834,NA,NA,"2018",observation,annual,,nalgene ,,,6/19/2018 11:25:32 PM,,,,,,"Ben Millard Martin, Sunday Lab 2020",,,,,,,,,
"397",Hakai,Nearshore,EDNA,Pruth Bay,plot,edna_pr_i3_00,NA,sand,seagrass meadow,Zostera marina,active,yes,51 38.7515862000001,128 7.17285600000025,51.64585977,-128.1195476,NA,NA,"2018",observation,annual,,nalgene ,,,6/19/2018 11:59:57 PM,,,,,,"Ben Millard Martin, Sunday Lab 2020",,,,,,,,,
"398",Hakai,Nearshore,EDNA,Pruth Bay,plot,edna_pr_i3_15,NA,sand,seagrass meadow,Zostera marina,active,yes,51 38.7557706000001,128 7.19004599999948,51.64592951,-128.1198341,NA,NA,"2018",observation,annual,,nalgene ,,,6/20/2018 12:09:00 AM,,,,,,"Ben Millard Martin, Sunday Lab 2020",,,,,,,,,
"399",Hakai,Nearshore,EDNA,Pruth Bay,plot,edna_pr_i3_30,NA,sand,seagrass meadow,Zostera marina,active,yes,51 38.7581292,128 7.20519600000046,51.64596882,-128.1200866,NA,NA,"2018",observation,annual,,nalgene ,,,6/20/2018 12:20:10 AM,,,,,,"Ben Millard Martin, Sunday Lab 2020",,,,,,,,,
"400",Hakai,Nearshore,EDNA,CHP,plot,edna_chp_00,NA,sand,seagrass meadow,Zostera marina,active,yes,51 40.5692892,128 7.39702200000011,51.67615482,-128.1232837,NA,NA,"2018",observation,annual,,nalgene ,,,,,,,,,"Ben Millard Martin, Sunday Lab 2020",,,,,,,,,
"401",Hakai,Nearshore,EDNA,CHP,plot,edna_chp_15,NA,sand,seagrass meadow,Zostera marina,active,yes,51 40.5770922000002,128 7.40203199999939,51.67628487,-128.1233672,NA,NA,"2018",observation,annual,,nalgene ,,,,,,,,,"Ben Millard Martin, Sunday Lab 2020",,,,,,,,,
"402",Hakai,Nearshore,EDNA,CHP,plot,edna_chp_30,NA,sand,seagrass meadow,Zostera marina,active,yes,51 40.583778,128 7.40483999999981,51.6763963,-128.123414,NA,NA,"2018",observation,annual,,nalgene ,,,,,,,,,"Ben Millard Martin, Sunday Lab 2020",,,,,,,,,
"403",Hakai,Nearshore,EDNA,HAB4,plot,edna_hab4_00,NA,mud,benthic macroalgae,unknown,active,yes,51 39.8977200000002,128 4.78894800000035,51.664962,-128.0798158,NA,NA,"2018",observation,annual,,nalgene ,,,,,,,,,"Ben Millard Martin, Sunday Lab 2020",,,,,,,,,
"404",Hakai,Nearshore,EDNA,HAB4,plot,edna_hab4_15,NA,mud,benthic macroalgae,unknown,active,yes,51 39.8880341999998,128 4.78581000000077,51.66480057,-128.0797635,NA,NA,"2018",observation,annual,,nalgene ,,,,,,,,,"Ben Millard Martin, Sunday Lab 2020",,,,,,,,,
"405",Hakai,Nearshore,EDNA,HAB4,plot,edna_hab4_30,NA,mud,benthic macroalgae,unknown,active,yes,51 39.8792406,128 4.78310399999941,51.66465401,-128.0797184,NA,NA,"2018",observation,annual,,nalgene ,,,,,,,,,"Ben Millard Martin, Sunday Lab 2020",,,,,,,,,
