fid,Ownership,Program,Project Name,Site Name,GPS Level,Point Name,Ocean Name,Substrate,Biotic Subclass,Biotic Community,Status,Public,Boat Lat,Boat Long,Decimal Lat,Decimal Long,End Transect Decimal Lat,End Transect Decimal Lon,Established,Survey Type,Survey Frequency,Depth_m,Primary Sampling Method,Transect Bearing,Transect Distance,Last Updated,Other Structure,Bolt,Temperature Logger,Logger Type,Notes,Student Projects,field_33,field_34,field_35,field_36,field_37,field_38,field_39,field_40,field_41
400,Hakai,Nearshore,EDNA,CHP,plot,edna_chp_00,NA,sand,seagrass meadow,Zostera marina,active,yes,51 40.5692892,128 7.39702200000011,51.67615482,-128.1232837,NA,NA,2018,observation,annual,,nalgene ,,,,,,,,,"Ben Millard Martin, Sunday Lab 2020",,,,,,,,,
401,Hakai,Nearshore,EDNA,CHP,plot,edna_chp_15,NA,sand,seagrass meadow,Zostera marina,active,yes,51 40.5770922000002,128 7.40203199999939,51.67628487,-128.1233672,NA,NA,2018,observation,annual,,nalgene ,,,,,,,,,"Ben Millard Martin, Sunday Lab 2020",,,,,,,,,
402,Hakai,Nearshore,EDNA,CHP,plot,edna_chp_30,NA,sand,seagrass meadow,Zostera marina,active,yes,51 40.583778,128 7.40483999999981,51.6763963,-128.123414,NA,NA,2018,observation,annual,,nalgene ,,,,,,,,,"Ben Millard Martin, Sunday Lab 2020",,,,,,,,,
403,Hakai,Nearshore,EDNA,HAB4,plot,edna_hab4_00,NA,mud,benthic macroalgae,unknown,active,yes,51 39.8977200000002,128 4.78894800000035,51.664962,-128.0798158,NA,NA,2018,observation,annual,,nalgene ,,,,,,,,,"Ben Millard Martin, Sunday Lab 2020",,,,,,,,,
404,Hakai,Nearshore,EDNA,HAB4,plot,edna_hab4_15,NA,mud,benthic macroalgae,unknown,active,yes,51 39.8880341999998,128 4.78581000000077,51.66480057,-128.0797635,NA,NA,2018,observation,annual,,nalgene ,,,,,,,,,"Ben Millard Martin, Sunday Lab 2020",,,,,,,,,
405,Hakai,Nearshore,EDNA,HAB4,plot,edna_hab4_30,NA,mud,benthic macroalgae,unknown,active,yes,51 39.8792406,128 4.78310399999941,51.66465401,-128.0797184,NA,NA,2018,observation,annual,,nalgene ,,,,,,,,,"Ben Millard Martin, Sunday Lab 2020",,,,,,,,,
406,Hakai,Nearshore,EDNA,PBA,plot,edna_pba_00,NA,mud,seagrass meadow,Zostera marina,active,yes,51 38.8022472000002,128 7.13045400000055,51.64670412,-128.1188409,NA,NA,2018,observation,annual,,nalgene ,,,,,,,,,"Ben Millard Martin, Sunday Lab 2020",,,,,,,,,
407,Hakai,Nearshore,EDNA,PBA,plot,edna_pba_15,NA,mud,seagrass meadow,Zostera marina,active,yes,51 38.7934818000001,128 7.13378400000067,51.64655803,-128.1188964,NA,NA,2018,observation,annual,,nalgene ,,,,,,,,,"Ben Millard Martin, Sunday Lab 2020",,,,,,,,,
408,Hakai,Nearshore,EDNA,PBA,plot,edna_pba_30,NA,mud,seagrass meadow,Zostera marina,active,yes,51 38.7853872000001,128 7.13671200000078,51.64642312,-128.1189452,NA,NA,2018,observation,annual,,nalgene ,,,,,,,,,"Ben Millard Martin, Sunday Lab 2020",,,,,,,,,
409,Hakai,Nearshore,EDNA,WFB,plot,edna_wfb_00,NA,sand,no vegetation,,active,yes,51 40.114899,128 7.16697000000011,51.66858165,-128.1194495,NA,NA,2018,observation,annual,,nalgene ,,,,,,,,,"Ben Millard Martin, Sunday Lab 2020",,,,,,,,,
410,Hakai,Nearshore,EDNA,WFB,plot,edna_wfb_15,NA,sand,no vegetation,,active,yes,51 40.1104757999998,128 7.17965400000082,51.66850793,-128.1196609,NA,NA,2018,observation,annual,,nalgene ,,,,,,,,,"Ben Millard Martin, Sunday Lab 2020",,,,,,,,,
411,Hakai,Nearshore,EDNA,WFB,plot,edna_wfb_30,NA,sand,no vegetation,,active,yes,51 40.1063843999998,128 7.1947920000008,51.66843974,-128.1199132,NA,NA,2018,observation,annual,,nalgene ,,,,,,,,,"Ben Millard Martin, Sunday Lab 2020",,,,,,,,,
412,Hakai,Nearshore,EDNA,SSP,plot,edna_ssp_00,NA,sand,seagrass meadow,Zostera marina,active,yes,51 40.7455482,128 6.91965000000039,51.67909247,-128.1153275,NA,NA,2018,observation,annual,,nalgene ,,,,,,,,,"Ben Millard Martin, Sunday Lab 2020",,,,,,,,,
413,Hakai,Nearshore,EDNA,SSP,plot,edna_ssp_15,NA,sand,seagrass meadow,Zostera marina,active,yes,51 40.7367474,128 6.91032000000007,51.67894579,-128.115172,NA,NA,2018,observation,annual,,nalgene ,,,,,,,,,"Ben Millard Martin, Sunday Lab 2020",,,,,,,,,
414,Hakai,Nearshore,EDNA,SSP,plot,edna_ssp_30,NA,sand,seagrass meadow,Zostera marina,active,yes,51 40.7296284000002,128 6.89748000000009,51.67882714,-128.114958,NA,NA,2018,observation,annual,,nalgene ,,,,,,,,,"Ben Millard Martin, Sunday Lab 2020",,,,,,,,,
415,Hakai,Nearshore,EDNA,PPO,plot,edna_ppo_00,NA,mud,seagrass meadow,Zostera marina,active,yes,51 39.4931658000002,128 6.79950000000019,51.65821943,-128.113325,NA,NA,2018,observation,annual,,nalgene ,,,,,,,,,"Ben Millard Martin, Sunday Lab 2020",,,,,,,,,
416,Hakai,Nearshore,EDNA,PPO,plot,edna_ppo_15,NA,mud,seagrass meadow,Zostera marina,active,yes,51 39.4863438000002,128 6.79162200000064,51.65810573,-128.1131937,NA,NA,2018,observation,annual,,nalgene ,,,,,,,,,"Ben Millard Martin, Sunday Lab 2020",,,,,,,,,
417,Hakai,Nearshore,EDNA,PPO,plot,edna_ppo_30,NA,mud,seagrass meadow,Zostera marina,active,yes,51 39.4799844000001,128 6.78672000000006,51.65799974,-128.113112,NA,NA,2018,observation,annual,,nalgene ,,,,,,,,,"Ben Millard Martin, Sunday Lab 2020",,,,,,,,,
