site,lat,long
cas1,51.42298,-127.91028
cas2,51.52919,-127.93262
fan1,52.0607,-128.41402
fan2,52.07108,-128.40424
fan3,52.05347,-128.40262
fei6,51.6337,-127.68705
gog3,52.001785,-128.42786
gog4,51.90397,-128.43958
hab1,51.65182,-128.11832
hab2,51.66382,-128.1368
hab3,51.6594,-128.11681
hab4,51.66529667,-128.0789633
hab5,51.65778,-127.96572
hab6,51.64249,-128.086863
hab7,51.7258,-128.00725
kis10,51.81974,-128.22237
kis2,51.83706,-128.23918
kis3,51.895733,-128.123197
kis8,51.86114,-128.19994
koe1,51.77404,-127.87433
koe2,51.7781,-127.87262
koe3,51.7756,-127.87876
nam2,51.83924,-127.87563
pba,51.64581,-128.11928
ppo,51.65768,-128.11253
ris1,51.45568,-127.69102
ris3,51.48631,-127.76165
ris4,51.53117,-127.56535
ris6,51.36692,-127.76829
ris7,51.39653,-127.72215
sni12,51.81873,-128.05721
sni2,51.81764,-128.03004
sni3,51.83101,-128.0273
sni9,51.79058,-128.08199
ssp,51.680508,-128.115208
wfb,51.66825,-128.11855
ris2,,
fei13,,
fei8,,
fei12,,
fei7,,
fei5,,
fei3,,
fei4,,
nam1,,
kis1,,
kis7,,
kis6,,
kis5,,
gog1,,
gog2,,
fei2,,
fei9,,
sni8,,
sni1,,
hdo,,
sni6,,
chp,,
fei1,,
sni4,,
sni11,,
sni7,,
fei11,,
sni5,,
fei10,,
sni10,,
kis4,,
