"","site","date","hakai_link_date","lat","long"
"1","chp",2018-07-12,2018-07-10,51.67636,128.12405
"2","chp",2018-08-24,2018-08-25,51.67636,128.12405
"3","chp",2019-09-05,2019-07-29,51.67636,128.12405
"4","chp",2020-07-19,2020-07-19,51.67636,128.12405
"5","fan1",2020-07-25,2020-07-25,52.0607,128.41402
"6","fan3",2020-07-25,2020-07-25,52.05347,128.40262
"7","gog1",2018-07-15,2018-07-14,51.92505,128.46851
"8","gog1",2020-07-26,2020-07-26,51.92505,128.46851
"9","gog4",2018-07-15,2018-07-14,51.90397,128.43958
"10","gog4",2020-07-26,2020-07-26,51.90397,128.43958
"11","hab2",2018-07-15,2018-07-12,51.66382,128.1368
"12","hab4",2018-07-12,2018-07-11,51.66529667,128.0789633
"13","hdo",2018-07-13,2018-07-11,51.65456,128.13007
"14","hdo",2018-08-23,2018-08-23,51.65456,128.13007
"15","hdo",2019-09-02,2019-07-29,51.65456,128.13007
"16","hdo",2020-07-19,2020-07-19,51.65456,128.13007
"17","kis1",2018-07-15,2018-07-13,51.810975,128.22937
"18","kis1",2019-09-03,2019-08-01,51.810975,128.22937
"19","kis1",2020-07-24,2020-07-24,51.810975,128.22937
"20","kis2",2018-07-15,2018-07-13,51.83706,128.23918
"21","kis2",2019-09-03,2019-08-01,51.83706,128.23918
"22","kis2",2020-07-24,2020-07-24,51.83706,128.23918
"23","koe1",2018-07-20,2018-07-18,51.77404,127.87433
"24","koe1",2019-09-04,2019-08-04,51.77404,127.87433
"25","koe1",2020-07-23,2020-07-23,51.77404,127.87433
"26","koe3",2018-07-20,2018-07-18,51.7756,127.87876
"27","koe3",2019-09-04,2019-08-04,51.7756,127.87876
"28","koe3",2020-07-23,2020-07-23,51.7756,127.87876
"29","pba",2018-07-12,2018-07-10,51.64581,128.11928
"30","pba",2018-08-23,2018-08-25,51.64581,128.11928
"31","pba",2019-09-02,2019-07-31,51.64581,128.11928
"32","pba",2020-07-21,2020-07-21,51.64581,128.11928
"33","ppo",2018-07-13,2018-07-11,51.65768,128.11253
"34","ppo",2018-08-23,2018-08-23,51.65768,128.11253
"35","ppo",2019-09-02,2019-07-31,51.65768,128.11253
"36","ppo",2020-07-21,2020-07-21,51.65768,128.11253
"37","sni1",2018-07-18,2018-07-16,51.83842,128.05959
"38","sni2",2018-07-18,2018-07-16,51.81764,128.03004
"39","ssp",2018-07-13,2018-07-12,51.680508,128.115208
"40","ssp",2018-08-24,2018-08-24,51.680508,128.115208
"41","ssp",2019-09-05,2019-07-30,51.680508,128.115208
"42","ssp",2020-07-20,2020-07-20,51.680508,128.115208
"43","wfb",2018-07-13,2018-07-12,51.66825,128.11855
"44","wfb",2018-08-24,2018-08-24,51.66825,128.11855
"45","wfb",2019-09-05,2019-07-30,51.66825,128.11855
"46","wfb",2020-07-20,2020-07-20,51.66825,128.11855
