site,year,month,day,replicate,rep.loc,set.time,net.size,success,species,stage,abundance,num.est,notes,entered,checked
ssp,2014,6,11,1,n/a,600,11,n/a,bapi,3,1,n/a,,midoli,midoli
ssp,2014,6,11,1,n/a,600,11,n/a,enso,1,24,n/a,,midoli,midoli
ssp,2014,6,11,1,n/a,600,11,n/a,coro,3,2,n/a,,midoli,midoli
ssp,2014,6,11,1,n/a,600,11,n/a,kegr,3,2,n/a,,midoli,midoli
ssp,2014,6,11,1,n/a,600,11,n/a,sard,1,14,n/a,,midoli,midoli
ssp,2014,6,11,1,n/a,600,11,n/a,unfl,1,2,n/a,,midoli,midoli
ssp,2014,6,11,1,n/a,600,11,n/a,kegr,3,1,n/a,,midoli,midoli
ssp,2014,6,11,1,n/a,600,11,n/a,sisc,3,2,n/a,,midoli,midoli
ssp,2014,6,11,1,n/a,600,11,n/a,shpe,2,1,n/a,,midoli,midoli
ssp,2014,6,11,1,n/a,600,11,n/a,tisc,3,1,n/a,,midoli,midoli
ssp,2014,6,11,1,n/a,600,11,n/a,sand,3,154,n/a,,midoli,midoli
ssp,2014,6,11,2,n/a,630,11,n/a,bapi,3,1,n/a,,midoli,midoli
ssp,2014,6,11,2,n/a,630,11,n/a,sisc,3,2,n/a,,midoli,midoli
ssp,2014,6,11,2,n/a,630,11,n/a,unsn,3,1,n/a,,midoli,midoli
ssp,2014,6,11,2,n/a,630,11,n/a,kegr,3,1,n/a,,midoli,midoli
ssp,2014,6,11,2,n/a,630,11,n/a,enso,3,66,n/a,,midoli,midoli
ssp,2014,6,11,2,n/a,630,11,n/a,saso,3,7,n/a,,midoli,midoli
ssp,2014,6,11,2,n/a,630,11,n/a,sand,3,81,n/a,,midoli,midoli
ssp,2014,6,11,2,n/a,630,11,n/a,sand,1,1,n/a,,midoli,midoli
ssp,2014,6,11,2,n/a,630,11,n/a,wall,1,3,n/a,,midoli,midoli
ssp,2014,6,11,2,n/a,630,11,n/a,unsa,1,3,n/a,,midoli,midoli
wfb,2014,6,11,1,n/a,830,22,n/a,enso,1,1,n/a,,midoli,midoli
wfb,2014,6,11,1,n/a,830,22,n/a,herr,1,,n/a,,midoli,midoli
wfb,2014,6,11,1,n/a,830,22,n/a,saso,3,,n/a,,midoli,midoli
wfb,2014,6,11,1,n/a,830,22,n/a,stsc,3,,n/a,,midoli,midoli
wfb,2014,6,11,1,n/a,830,22,n/a,sand,3,,n/a,,midoli,midoli
wfb,2014,6,11,2,n/a,843,22,n/a,sand,3,1,n/a,,midoli,midoli
wfb,2014,6,11,2,n/a,843,22,n/a,enso,1,56,n/a,,midoli,midoli
wfb,2014,6,11,2,n/a,843,22,n/a,saso,1,42,n/a,,midoli,midoli
wfb,2014,6,11,2,n/a,843,22,n/a,stfl,3,2,n/a,,midoli,midoli
wfb,2014,6,11,2,n/a,843,22,n/a,stsc,3,2,n/a,,midoli,midoli
wfb,2014,6,11,2,n/a,843,22,n/a,susm,3,1,n/a,,midoli,midoli
wfb,2014,6,11,2,n/a,843,22,n/a,unsc,3,1,n/a,,midoli,midoli
pba,2014,6,12,1,n/a,830,11,n/a,bapi,3,39,n/a,,midoli,midoli
pba,2014,6,12,1,n/a,830,11,n/a,crgu,3,11,n/a,,midoli,midoli
pba,2014,6,12,1,n/a,830,11,n/a,enso,1,5,n/a,,midoli,midoli
pba,2014,6,12,1,n/a,830,11,n/a,grsc,3,2,n/a,,midoli,midoli
pba,2014,6,12,1,n/a,830,11,n/a,kegr,1,6,n/a,,midoli,midoli
pba,2014,6,12,1,n/a,830,11,n/a,shpe,2,29,n/a,,midoli,midoli
pba,2014,6,12,1,n/a,830,11,n/a,sisc,3,4,n/a,,midoli,midoli
pba,2014,6,12,1,n/a,830,11,n/a,stfl,3,1,n/a,,midoli,midoli
pba,2014,6,12,1,n/a,830,11,n/a,thst,3,131,n/a,,midoli,midoli
pba,2014,6,12,1,n/a,830,11,n/a,tube,3,3,n/a,,midoli,midoli
pba,2014,6,12,1,n/a,830,11,n/a,ling,3,1,n/a,,midoli,midoli
pba,2014,6,12,1,n/a,830,11,n/a,snpr,3,6,n/a,,midoli,midoli
pba,2014,6,12,1,n/a,830,11,n/a,bago,3,1,n/a,,midoli,midoli
pba,2014,6,12,2,n/a,830,11,n/a,bapi,3,99,n/a,,midoli,midoli
pba,2014,6,12,2,n/a,830,11,n/a,crgu,3,99,n/a,,midoli,midoli
pba,2014,6,12,2,n/a,830,11,n/a,enso,1,7,n/a,,midoli,midoli
pba,2014,6,12,2,n/a,830,11,n/a,kegr,1,11,n/a,species id not confident,midoli,midoli
pba,2014,6,12,2,n/a,830,11,n/a,shpe,2,223,n/a,,midoli,midoli
pba,2014,6,12,2,n/a,830,11,n/a,sisc,3,10,n/a,,midoli,midoli
pba,2014,6,12,2,n/a,830,11,n/a,stsc,3,1,n/a,,midoli,midoli
pba,2014,6,12,2,n/a,830,11,n/a,stfl,3,1,n/a,,midoli,midoli
pba,2014,6,12,2,n/a,830,11,n/a,thst,3,138,n/a,,midoli,midoli
pba,2014,6,12,2,n/a,830,11,n/a,tube,3,8,n/a,,midoli,midoli
pba,2014,6,12,2,n/a,830,11,n/a,tube,1,10,n/a,,midoli,midoli
pba,2014,6,12,2,n/a,830,11,n/a,unfl,3,1,n/a,,midoli,midoli
pba,2014,6,12,2,n/a,830,11,n/a,snpr,3,52,n/a,,midoli,midoli
pba,2014,6,12,2,n/a,830,11,n/a,ling,1,11,n/a,,midoli,midoli
pba,2014,6,12,2,n/a,830,11,n/a,tomc,1,1,n/a,,midoli,midoli
pba,2014,6,12,2,n/a,830,11,n/a,pasa,1,1,n/a,,midoli,midoli
pba,2014,6,12,2,n/a,830,11,n/a,kegr,1,1,n/a,,midoli,midoli
hab1,2014,6,12,1,n/a,605,11,n/a,bapi,3,44,n/a,,midoli,midoli
hab1,2014,6,12,1,n/a,605,11,n/a,crgu,3,13,n/a,,midoli,midoli
hab1,2014,6,12,1,n/a,605,11,n/a,kecl,3,1,n/a,,midoli,midoli
hab1,2014,6,12,1,n/a,605,11,n/a,kegr,1,2,n/a,,midoli,midoli
hab1,2014,6,12,1,n/a,605,11,n/a,pasc,3,5,n/a,,midoli,midoli
hab1,2014,6,12,1,n/a,605,11,n/a,shpe,2,12,n/a,,midoli,midoli
hab1,2014,6,12,1,n/a,605,11,n/a,sisc,3,4,n/a,,midoli,midoli
hab1,2014,6,12,1,n/a,605,11,n/a,smsc,3,1,n/a,,midoli,midoli
hab1,2014,6,12,1,n/a,605,11,n/a,tisc,3,37,n/a,,midoli,midoli
hab1,2014,6,12,2,n/a,630,11,n/a,bapi,3,10,n/a,,midoli,midoli
hab1,2014,6,12,2,n/a,630,11,n/a,crgu,3,17,n/a,,midoli,midoli
hab1,2014,6,12,2,n/a,630,11,n/a,kecl,3,2,n/a,,midoli,midoli
hab1,2014,6,12,2,n/a,630,11,n/a,kegr,1,1,n/a,,midoli,midoli
hab1,2014,6,12,2,n/a,630,11,n/a,pasc,3,1,n/a,,midoli,midoli
hab1,2014,6,12,2,n/a,630,11,n/a,tisc,3,49,n/a,,midoli,midoli
hab1,2014,6,12,2,n/a,630,11,n/a,tube,3,2,n/a,,midoli,midoli
hab1,2014,6,12,2,n/a,630,11,n/a,paco,1,1,n/a,,midoli,midoli
hab1,2014,6,12,2,n/a,630,11,n/a,ling,1,1,n/a,,midoli,midoli
hab1,2014,6,12,2,n/a,630,11,n/a,blgo,3,1,n/a,,midoli,midoli
kis1,2014,6,13,1,n/a,648,11,n/a,bapi,3,3,n/a,,carolyn,midoli
kis1,2014,6,13,1,n/a,648,11,n/a,busc,3,9,n/a,,carolyn,midoli
kis1,2014,6,13,1,n/a,648,11,n/a,enso,3,30,n/a,,carolyn,midoli
kis1,2014,6,13,1,n/a,648,11,n/a,kegr,3,1,n/a,,carolyn,midoli
kis1,2014,6,13,1,n/a,648,11,n/a,saso,3,1,n/a,,carolyn,midoli
kis1,2014,6,13,1,n/a,648,11,n/a,shpe,2,22,n/a,,carolyn,midoli
kis1,2014,6,13,1,n/a,648,11,n/a,tube,3,7,n/a,,carolyn,midoli
kis1,2014,6,13,1,n/a,648,11,n/a,blro,1,3,n/a,,carolyn,midoli
kis1,2014,6,13,1,n/a,648,11,n/a,coro,1,7,n/a,,carolyn,midoli
kis1,2014,6,13,1,n/a,648,11,n/a,ungu,1,3,n/a,,carolyn,midoli
kis1,2014,6,13,1,n/a,648,11,n/a,kegr,1,1,n/a,,carolyn,midoli
kis1,2014,6,13,2,n/a,705,11,n/a,busc,1,2,n/a,,carolyn,midoli
kis1,2014,6,13,2,n/a,705,11,n/a,crgu,3,1,n/a,,carolyn,midoli
kis1,2014,6,13,2,n/a,705,11,n/a,sand,1,19,n/a,,carolyn,midoli
kis1,2014,6,13,2,n/a,705,11,n/a,sand,3,1,n/a,,carolyn,midoli
kis1,2014,6,13,2,n/a,705,11,n/a,shpe,2,4,n/a,,carolyn,midoli
kis1,2014,6,13,2,n/a,705,11,n/a,sand,3,3500,3500,,carolyn,midoli
kis2,2014,6,13,1,n/a,850,11,n/a,crgu,3,7,n/a,,carolyn,midoli
kis2,2014,6,13,1,n/a,850,11,n/a,enso,3,45,n/a,,carolyn,midoli
kis2,2014,6,13,1,n/a,850,11,n/a,kepe,3,2,n/a,,carolyn,midoli
kis2,2014,6,13,1,n/a,850,11,n/a,grsc,3,2,n/a,,carolyn,midoli
kis2,2014,6,13,1,n/a,850,11,n/a,pasc,3,2,n/a,,carolyn,midoli
kis2,2014,6,13,1,n/a,850,11,n/a,shpe,2,4,n/a,,carolyn,midoli
kis2,2014,6,13,1,n/a,850,11,n/a,sisc,3,2,n/a,,carolyn,midoli
kis2,2014,6,13,1,n/a,850,11,n/a,tisc,3,85,n/a,,carolyn,midoli
kis2,2014,6,13,1,n/a,850,11,n/a,tube,1,8,n/a,,carolyn,midoli
kis2,2014,6,13,1,n/a,850,11,n/a,paco,1,20,n/a,,carolyn,midoli
kis2,2014,6,13,1,n/a,850,11,n/a,kegr,1,30,n/a,,carolyn,midoli
kis2,2014,6,13,1,n/a,850,11,n/a,pegu,3,1,n/a,,carolyn,midoli
kis2,2014,6,13,1,n/a,850,11,n/a,pegu,1,3,n/a,,carolyn,midoli
kis2,2014,6,13,1,n/a,850,11,n/a,coro,1,1,n/a,,carolyn,midoli
kis2,2014,6,13,1,n/a,850,11,n/a,stsc,3,2,n/a,,carolyn,midoli
kis2,2014,6,13,1,n/a,850,11,n/a,hico,1,1,n/a,,carolyn,midoli
kis2,2014,6,13,1,n/a,850,11,n/a,sand,3,1,n/a,,carolyn,midoli
kis2,2014,6,13,2,n/a,905,11,n/a,bapi,3,10,n/a,,carolyn,midoli
kis2,2014,6,13,2,n/a,905,11,n/a,busc,3,4,n/a,,carolyn,midoli
kis2,2014,6,13,2,n/a,905,11,n/a,crgu,1,3,n/a,,carolyn,midoli
kis2,2014,6,13,2,n/a,905,11,n/a,crgu,3,2,n/a,,carolyn,midoli
kis2,2014,6,13,2,n/a,905,11,n/a,enso,3,52,n/a,,carolyn,midoli
kis2,2014,6,13,2,n/a,905,11,n/a,grsc,3,1,n/a,,carolyn,midoli
kis2,2014,6,13,2,n/a,905,11,n/a,shpe,2,9,n/a,,carolyn,midoli
kis2,2014,6,13,2,n/a,905,11,n/a,stsc,3,6,n/a,,carolyn,midoli
kis2,2014,6,13,2,n/a,905,11,n/a,tisc,3,39,n/a,,carolyn,midoli
kis2,2014,6,13,2,n/a,905,11,n/a,tube,1,22,n/a,,carolyn,midoli
kis2,2014,6,13,2,n/a,905,11,n/a,pegu,1,4,n/a,,carolyn,midoli
kis2,2014,6,13,2,n/a,905,11,n/a,kegr,1,2,n/a,,carolyn,midoli
kis2,2014,6,13,2,n/a,905,11,n/a,grsc,3,1,n/a,,carolyn,midoli
hab2,2014,6,14,1,n/a,800,11,n/a,unsa,1,11,n/a,,carolyn,midoli
hab2,2014,6,14,1,n/a,800,11,n/a,enso,3,82,n/a,,carolyn,midoli
hab2,2014,6,14,1,n/a,800,11,n/a,tube,1,2,n/a,,carolyn,midoli
hab2,2014,6,14,1,n/a,800,11,n/a,saso,3,10,n/a,,carolyn,midoli
hab2,2014,6,14,1,n/a,800,11,n/a,kegr,3,2,n/a,,carolyn,midoli
hab2,2014,6,14,1,n/a,800,11,n/a,reil,3,1,n/a,,carolyn,midoli
hab2,2014,6,14,1,n/a,800,11,n/a,nocl,3,1,n/a,,carolyn,midoli
hab2,2014,6,14,1,n/a,800,11,n/a,pegu,3,4,n/a,,carolyn,midoli
hab2,2014,6,14,1,n/a,800,11,n/a,ling,3,1,n/a,,carolyn,midoli
hab2,2014,6,14,1,n/a,800,11,n/a,sand,3,1,n/a,,carolyn,midoli
hab2,2014,6,14,1,n/a,800,11,n/a,sard,1,1,n/a,,carolyn,midoli
hab2,2014,6,14,2,n/a,815,11,n/a,unfl,3,100,n/a,,carolyn,midoli
hab2,2014,6,14,2,n/a,815,11,n/a,sand,3,503,n/a,,carolyn,midoli
hab2,2014,6,14,2,n/a,815,11,n/a,enso,3,81,n/a,,carolyn,midoli
hab2,2014,6,14,2,n/a,815,11,n/a,unsa,1,23,n/a,,carolyn,midoli
hab2,2014,6,14,2,n/a,815,11,n/a,stfl,3,1,n/a,,carolyn,midoli
hab2,2014,6,14,2,n/a,815,11,n/a,tube,3,1,n/a,,carolyn,midoli
hab2,2014,6,14,2,n/a,815,11,n/a,ling,3,1,n/a,,carolyn,midoli
hab2,2014,6,14,2,n/a,815,11,n/a,saso,3,2,n/a,,carolyn,midoli
hab2,2014,6,14,3,n/a,930,11,n/a,susm,3,71,n/a,,carolyn,midoli
hab2,2014,6,14,3,n/a,930,11,n/a,unsa,1,2,n/a,,carolyn,midoli
hab2,2014,6,14,3,n/a,930,11,n/a,kegr,2,4,n/a,,carolyn,midoli
hab2,2014,6,14,3,n/a,930,11,n/a,busc,3,1,n/a,,carolyn,midoli
hab2,2014,6,14,3,n/a,930,11,n/a,smsc,3,1,n/a,,carolyn,midoli
hab2,2014,6,14,3,n/a,930,11,n/a,saso,3,4,n/a,,carolyn,midoli
hab2,2014,6,14,3,n/a,930,11,n/a,kegr,1,1,n/a,,carolyn,midoli
hab2,2014,6,14,3,n/a,930,11,n/a,enso,3,6,n/a,,carolyn,midoli
hab2,2014,6,14,3,n/a,930,11,n/a,pegu,3,3,n/a,,carolyn,midoli
hab2,2014,6,14,3,n/a,930,11,n/a,tube,1,1,n/a,,carolyn,midoli
hab2,2014,6,14,3,n/a,930,11,n/a,unfl,1,1,n/a,,carolyn,midoli
ppo,2014,6,14,1,n/a,1030,11,n/a,kecl,3,5,n/a,,carolyn,midoli
ppo,2014,6,14,1,n/a,1030,11,n/a,bapi,3,56,n/a,,carolyn,midoli
ppo,2014,6,14,1,n/a,1030,11,n/a,tube,3,1,n/a,,carolyn,midoli
ppo,2014,6,14,1,n/a,1030,11,n/a,tisc,3,91,n/a,,carolyn,midoli
ppo,2014,6,14,1,n/a,1030,11,n/a,shpe,2,7,n/a,,carolyn,midoli
ppo,2014,6,14,1,n/a,1030,11,n/a,thst,3,2,n/a,,carolyn,midoli
ppo,2014,6,14,1,n/a,1030,11,n/a,kegr,1,6,n/a,,carolyn,midoli
ppo,2014,6,14,1,n/a,1030,11,n/a,sisc,3,6,n/a,,carolyn,midoli
ppo,2014,6,14,1,n/a,1030,11,n/a,crgu,3,7,n/a,,carolyn,midoli
ppo,2014,6,14,1,n/a,1030,11,n/a,stsc,3,2,n/a,,carolyn,midoli
ppo,2014,6,14,1,n/a,1030,11,n/a,ling,3,1,n/a,,carolyn,midoli
ppo,2014,6,14,1,n/a,1030,11,n/a,enso,3,6,n/a,,carolyn,midoli
ppo,2014,6,14,1,n/a,1030,11,n/a,tisc,3,53,n/a,,carolyn,midoli
ppo,2014,6,14,1,n/a,1030,11,n/a,bapi,3,2,n/a,,carolyn,midoli
ppo,2014,6,14,1,n/a,1030,11,n/a,sand,3,23,n/a,,carolyn,midoli
ppo,2014,6,14,1,n/a,1130,11,n/a,reil,1,1,n/a,,carolyn,midoli
hab3,2014,6,14,1,n/a,1030,22,n/a,bapi,3,137,n/a,,carolyn,midoli
hab3,2014,6,14,1,n/a,1030,22,n/a,stsc,3,17,n/a,,carolyn,midoli
hab3,2014,6,14,1,n/a,1030,22,n/a,unsa,3,8,n/a,,carolyn,midoli
hab3,2014,6,14,1,n/a,1030,22,n/a,crgu,3,3,n/a,,carolyn,midoli
hab3,2014,6,14,1,n/a,1030,22,n/a,kegr,1,6,n/a,,carolyn,midoli
hab3,2014,6,14,1,n/a,1030,22,n/a,ling,3,1,n/a,,carolyn,midoli
hab3,2014,6,14,1,n/a,1030,22,n/a,sisc,3,2,n/a,,carolyn,midoli
hab3,2014,6,14,1,n/a,1030,22,n/a,snpr,3,1,n/a,,carolyn,midoli
hab3,2014,6,14,1,n/a,1030,22,n/a,enso,3,2,n/a,,carolyn,midoli
hab3,2014,6,14,2,n/a,1045,22,n/a,bapi,3,64,n/a,,carolyn,midoli
hab3,2014,6,14,2,n/a,1045,22,n/a,stsc,3,17,n/a,,carolyn,midoli
hab3,2014,6,14,2,n/a,1045,22,n/a,crgu,3,9,n/a,,carolyn,midoli
hab3,2014,6,14,2,n/a,1045,22,n/a,kegr,1,6,n/a,,carolyn,midoli
hab3,2014,6,14,2,n/a,1045,11,n/a,ling,3,1,n/a,,carolyn,midoli
hab3,2014,6,14,2,n/a,1045,11,n/a,pegu,3,1,n/a,,carolyn,midoli
hab3,2014,6,14,2,n/a,1045,11,n/a,shpe,2,1,n/a,,carolyn,midoli
hab3,2014,6,14,2,n/a,1045,11,n/a,stfl,3,3,n/a,,carolyn,midoli
hab3,2014,6,14,2,n/a,1045,11,n/a,herr,3,28,n/a,,carolyn,midoli
koe1,2014,6,15,1,n/a,925,11,n/a,unfl,3,200,200,,carolyn,midoli
koe1,2014,6,15,1,n/a,925,11,n/a,sand,3,1318,1100,,carolyn,midoli
koe1,2014,6,15,1,n/a,925,11,n/a,dova,3,2,n/a,,carolyn,midoli
koe1,2014,6,15,1,n/a,925,11,n/a,unsa,3,5,n/a,,carolyn,midoli
koe1,2014,6,15,1,n/a,925,11,n/a,stfl,3,5,n/a,,carolyn,midoli
koe1,2014,6,15,1,n/a,925,11,n/a,saso,3,5,n/a,,carolyn,midoli
koe1,2014,6,15,1,n/a,925,11,n/a,enso,3,44,n/a,,carolyn,midoli
koe1,2014,6,15,1,n/a,925,11,n/a,pasa,3,32,n/a,,carolyn,midoli
koe1,2014,6,15,1,n/a,925,11,n/a,thst,3,1,n/a,,carolyn,midoli
