site,year,month,day,replicate,species,stage,length,comments,entered,checked
ssp,2014,6,11,1,bapi,3,158,,midoli,midoli
ssp,2014,6,11,1,enso,3,63,,midoli,midoli
ssp,2014,6,11,1,enso,3,54,,midoli,midoli
ssp,2014,6,11,1,enso,3,53,,midoli,midoli
ssp,2014,6,11,1,enso,3,39,,midoli,midoli
ssp,2014,6,11,1,enso,3,40,,midoli,midoli
ssp,2014,6,11,1,enso,3,66,,midoli,midoli
ssp,2014,6,11,1,enso,3,66,,midoli,midoli
ssp,2014,6,11,1,enso,3,52,,midoli,midoli
ssp,2014,6,11,1,enso,3,44,,midoli,midoli
ssp,2014,6,11,1,enso,3,80,,midoli,midoli
ssp,2014,6,11,1,shpe,2,115,,midoli,midoli
ssp,2014,6,11,1,sisc,3,65,,midoli,midoli
ssp,2014,6,11,1,sisc,3,56,,midoli,midoli
ssp,2014,6,11,1,tisc,3,28,,midoli,midoli
ssp,2014,6,11,1,coro,3,255,,midoli,midoli
ssp,2014,6,11,1,coro,3,140,,midoli,midoli
ssp,2014,6,11,1,kegr,3,225,,midoli,midoli
ssp,2014,6,11,1,kegr,3,89,,midoli,midoli
ssp,2014,6,11,1,unfl,3,35,,midoli,midoli
ssp,2014,6,11,1,unfl,3,22,,midoli,midoli
ssp,2014,6,11,1,kegr,3,61,,midoli,midoli
ssp,2014,6,11,1,sand,3,59,,midoli,midoli
ssp,2014,6,11,1,sand,3,63,,midoli,midoli
ssp,2014,6,11,1,sand,3,61,,midoli,midoli
ssp,2014,6,11,1,sand,3,53,,midoli,midoli
ssp,2014,6,11,1,sand,3,69,,midoli,midoli
ssp,2014,6,11,1,sand,3,75,,midoli,midoli
ssp,2014,6,11,1,sand,3,62,,midoli,midoli
ssp,2014,6,11,1,sand,3,59,,midoli,midoli
ssp,2014,6,11,1,sand,3,56,,midoli,midoli
ssp,2014,6,11,1,sand,3,52,,midoli,midoli
ssp,2014,6,11,1,sand,3,54,,midoli,midoli
ssp,2014,6,11,1,sand,3,64,,midoli,midoli
ssp,2014,6,11,1,sand,3,57,,midoli,midoli
ssp,2014,6,11,1,sand,3,66,,midoli,midoli
ssp,2014,6,11,1,sand,3,51,,midoli,midoli
ssp,2014,6,11,1,sand,3,37,,midoli,midoli
ssp,2014,6,11,1,sand,3,56,,midoli,midoli
ssp,2014,6,11,1,sand,3,61,,midoli,midoli
ssp,2014,6,11,1,sand,3,56,,midoli,midoli
ssp,2014,6,11,1,sand,3,62,,midoli,midoli
ssp,2014,6,11,1,sand,3,54,,midoli,midoli
ssp,2014,6,11,1,sand,3,56,,midoli,midoli
ssp,2014,6,11,1,sand,3,62,,midoli,midoli
ssp,2014,6,11,1,sand,3,51,,midoli,midoli
ssp,2014,6,11,1,sand,3,52,,midoli,midoli
ssp,2014,6,11,1,sand,3,86,,midoli,midoli
ssp,2014,6,11,1,sand,3,59,,midoli,midoli
ssp,2014,6,11,2,bapi,3,137,,midoli,midoli
ssp,2014,6,11,2,sisc,3,53,,midoli,midoli
ssp,2014,6,11,2,sisc,3,76,,midoli,midoli
ssp,2014,6,11,2,unsa,3,65,,midoli,midoli
ssp,2014,6,11,2,unsa,3,55,,midoli,midoli
ssp,2014,6,11,2,unsa,3,45,,midoli,midoli
ssp,2014,6,11,2,unsn,3,93,,midoli,midoli
ssp,2014,6,11,2,kegr,3,55,,midoli,midoli
ssp,2014,6,11,2,sand,3,95,,midoli,midoli
ssp,2014,6,11,2,sand,3,62,,midoli,midoli
ssp,2014,6,11,2,sand,3,59,,midoli,midoli
