site,lat,long,aspect,slope_intertidal,slope_subtidal,freshwater_input,intertidal_primary_macroveg,intertidal_primary_cover,intertidal_secondary_macroveg,intertidal_secondary_cover,subtidal_primary_macroveg,subtidal_primary_macroveg_simple,subtidal_primary_cover,subtidal_secondary_macroveg,subtidal_secondary_cover,intertidal_primary_substrate,intertidal_secondary_substate,subtidal_primary_substrate,subtidal_secondary_substrate,beach_length,veg_subst,exposure,notes
cas1,51.42298,127.91028,195,2,2,n,ulva,50,fucus,50,zostera,zostera,5,none,0,sand,cobble,sand,cobble,200,sand,se,
cas2,51.52919,127.93262,66,2,2,n,zostera,90,none,0,zostera,zostera,90,none,0,mud,cobble,mud,cobble,300,zostera.mud,sp,
chp,51.67636,128.12405,64,3,2,n,fucus,20,none,0,zostera,zostera,70,egregia,10,sand,gravel,sand,gravel,35,zostera.sand,e,on the edge of zostera beds which we might seine at lower tides
fan1,52.0607,128.41402,354,2,1,n,fucus,10,zostera,5,zostera,zostera,99,a2,1,sand,gravel,sand,gravel,150,zostera.sand,p,
fan2,52.07108,128.40424,348,5,5,n,fucus,60,codium,15,zostera,zostera,20,macro,10,sand,cobble,sand,cobble,20,zostera.sand,se,
fan3,52.05347,128.40262,164,1,1,n,fucus,5,none,0,zostera,zostera,75,macro,5,sand,sand,sand,sand,700,zostera.sand,sp,margot's seagrass sites
fei1,51.60141,127.67641,331,14,5,y,fucus,50,ag3,25,zostera,zostera,50,ag3,25,mud,sand,mud,sand,170,zostera.mud,vp,centered on creek output
fei10,51.57476,127.79446,270,5,6,n,fucus,20,zostera,5,zostera,zostera,40,zostera,5,gravel,sand,gravel,sand,50,zostera.gravel,p,
fei11,51.53254,127.79809,310,4,6,n,fucus,1,none,0,zostera,zostera,60,none,0,sand,gravel,sand,gravel,50,zostera.sand,sp,
fei12,51.62478,127.69541,184,10,1,y,fucus,10,zostera,1,zostera,zostera,15,none,0,mud,cobble,mud,cobble,5,mud,vp,
fei13,51.565812,127.79362,210,5,2,n,fucus,20,unal,1,zostera,zostera,65,ulva,10,cobble,sand,sand,gravel,50,zostera.sand,sp,
fei2,51.61966,127.69118,160,8,2,n,fucus,70,none,0,zostera,zostera,70,none,0,sand,pebble,mud,cobble,80,zostera.mud,p,broken by rock outcrops
fei3,51.71321,127.87064,115,3,3,n,fucus,20,unal,5,zostera,zostera,80,unal,1,mud,mud,mud,mud,150,zostera.mud,sp,
fei4,51.70667,127.8847,144,7,2,n,fucus,30,unal,15,zostera,zostera,80,unal,5,sand,mud,sand,mud,130,zostera.sand,sp,
fei5,51.651281,127.853603,169,1,1,n,fucus,30,ulva,3,zostera,zostera,90,ulva,2,mud,cobble,mud,sand,30,zostera.mud,p,
fei6,51.6337,127.68705,190,4,2,y,fucus,10,none,0,zostera,zostera,40,none,0,cobble,gravel,mud,cobble,75,zostera.mud,p,"river input at m, water felt pretty warm here, maybe a hotspring in the area?"
fei7,51.6291,127.75097,148,5,4,n,fucus,25,none,0,zostera,zostera,10,fucus,5,sand,cobble,sand,gravel,20,sand,p,
fei8,51.62294,127.69376,186,3,4,n,fucus,50,unal,50,zostera,zostera,50,none,0,cobble,pebble,mud,cobble,25,zostera.mud,p,
fei9,51.60461,127.71237,0,10,2,n,fucus,50,unal,50,zostera,zostera,50,none,0,mud,gravel,mud,cobble,20,zostera.mud,vp,
gog1,51.92505,128.46851,110,1,1,n,zostera,5,none,0,zostera,zostera,95,none,0,sand,sand,sand,sand,200,zostera.sand,se,margot's seagrass sites
gog2,51.99169,128.43129,244,3,2,y,fucus,5,none,0,zostera,zostera,75,egregia,5,sand,gravel,sand,sand,690,zostera.sand,se,
