code,species,genus,family,order,suborder,common name,,,
alsc,cottus aleuticus,cottus,cottidae,scorpaeniformes,cottoidei,aleutian sculpin,,,
argo,clevelandia ios,clevelandia,gobiidae,perciformes,gobioidei,arrow goby,,,
bago,lepidogobius lepidus,lepidogobius,gobiidae,perciformes,gobioidei,bay goby,,,
amsh,alosa sapidissima,,,,,american shad,,,
bapi,syngnathus leptorhynchus,syngnathus,syngnathidae,gasterosteiformes,syngnathoidei,bay pipefish,,,
bipo,bathyagonus pentacanthus,bathyagonus,agonidae,scorpaeniformes,cottoidei,bigeye poacher,,,
bisk,raja binoculata,raja,rajidae,rajiformes,rajoidei,big skate,,,
blgo,coryphopterus nicholsi,rhinogobiops,gobiidae,perciformes,gobioidei,blackeye goby,,,
blpe,embiotoca jacksoni,embiotoca,embiotocidae,perciformes,labroidei,black surfperch,,,
blpo,xeneretmus latifrons,xeneretmus,agonidae,scorpaeniformes,cottoidei,blacktip poacher,,,
blpr,xiphister atropurpureus,xiphister,stichaeidae,perciformes,zoarcoidei,black prickleback,,,
blro,sebastes melanops,sebastes,scorpaenidae,scorpaeniformes,scorpaenoidei,black rockfish,,,
byro,sebastes sp.,sebastes,scorpaenidae,scorpaeniformes,scorpaenoidei,black-yellowtail complex,,,
boro,sebastes paucispinis,sebastes,scorpaenidae,scorpaeniformes,scorpaenoidei,bocaccio,,,
bril,hemilepidotus spinosus,hemilepidotus,cottidae,scorpaeniformes,cottoidei,brown irish lord,,,
brro,sebastes auriculatus,sebastes,scorpaenidae,scorpaeniformes,scorpaenoidei,brown rockfish,,,
busc,enophrys bison,enophrys,cottidae,scorpaeniformes,cottoidei,buffalo sculpin,,,
buso,isopsetta isolepis,isopsetta,pleuronectidae,pleuronectiformes,pleuronectoidei,butter sole,,,
cabe,scorpaenichthys marmoratus,scorpaenichthys,cottidae,scorpaeniformes,cottoidei,cabezon,,,
cape,mallotus villosus,mallotus,osmeridae,osmeriformes,osmeroidei,capelin,,,
caro,sebastes pinniger,sebastes,scorpaenidae,scorpaeniformes,scorpaenoidei,canary rockfish,,,
casc,clinocottus embryum,clinocottus,cottidae,scorpaeniformes,cottoidei,calico sculpin,,,
chin,oncorhynchus tshawytscha,oncorhynchus,salmonidae,salmoniformes,salmonoidei,chinook,,,
chro,sebastes nebulosus,sebastes,scorpaenidae,scorpaeniformes,scorpaenoidei,china rockfish,,,
chum,oncorhynchus keta,oncorhynchus,salmonidae,salmoniformes,salmonoidei,chum,,,
coho,oncorhynchus kisutch,oncorhynchus,salmonidae,salmoniformes,salmonoidei,coho,,,
coro,sebastes caurinus,sebastes,scorpaenidae,scorpaeniformes,scorpaenoidei,copper rockfish,,,
coso,pleuronichthys coenosus,pleuronichthys,pleuronectidae,pleuronectiformes,pleuronectoidei,c-o sole,,,
cuso,pleuronichthys decurrens,,,,,curlfin sole,,,
cqbr,sebastes sp.,,,,,copper-quillback-brown complex,,,
crgu,pholis laeta,pholis,pholididae,perciformes,zoarcoidei,crescent gunnel,,,
crke,gibbonsia montereyensis,gibbonsia,clinidae,perciformes,n-a,crevice kelpfish,,,
cutt,oncorhynchus clarki,oncorhynchus,salmonidae,salmoniformes,salmonoidei,cutthroat,,,
doso,microstomus pacificus,microstomus,pleuronectidae,pleuronectiformes,pleuronectoidei,dover sole,,,
dova,salvelinus malma,salvelinus,salmonidae,salmoniformes,salmonoidei,dolly varden,,,
enso,parophrys vetulus,parophrys,pleuronectidae,pleuronectiformes,pleuronectoidei,english sole,,,
flsc,oligocottus snyderi,oligocottus,cottidae,scorpaeniformes,cottoidei,fluffy sculpin,,,
grsc,myoxocephalus polyacanthocephalus,myoxocephalus,cottidae,scorpaeniformes,cottoidei,great sculpin,,,
hali,hippoglossus stenolepis,hippoglossus,pleuronectidae,pleuronectiformes,pleuronectoidei,pacific halibut,,,
herr,clupea pallasi,clupea,clupeidae,clupeiformes,clupeoidei,pacific herring,,,
hico,anoplarchus purpurescens,anoplarchus,stichaeidae,perciformes,zoarcoidei,high cockscomb,,,
