site,year,month,day,location,depth,temp,salinity,ph,secchi
ssp,2015,5,2,a0,0,9.7,27.6,8,11
ssp,2015,5,2,b0,0,9.7,28.1,8,11
ssp,2015,5,2,b1,1,9.7,28.1,8,11
ssp,2015,5,2,c0,0,9.8,28.1,8.1,11
ssp,2015,5,2,c1,1,9.7,28.2,8.1,11
ssp,2015,5,2,c3,3,9.7,28.6,8.1,11
ssp,2015,5,2,d0,0,9.8,28.1,8.1,11
ssp,2015,5,2,d1,1,9.9,28.1,8.1,11
ssp,2015,5,2,d5,5,9.8,28.3,8.1,11
ssp,2015,5,2,d10,10,9.8,28.3,8.1,11
wfb,2015,5,2,a0,0,10,27.6,8,10
wfb,2015,5,2,b0,0,9.9,27.5,8,10
wfb,2015,5,2,b1,1,9.9,27.9,8,10
wfb,2015,5,2,c0,0,9.9,28,8,10
wfb,2015,5,2,c1,1,9.9,28.1,8,10
wfb,2015,5,2,c3,3,9.8,28.2,8,10
wfb,2015,5,2,d0,0,9.8,28.3,8,10
wfb,2015,5,2,d1,1,9.8,28.3,8,10
wfb,2015,5,2,d5,5,9.8,28.3,8,10
wfb,2015,5,2,d10,10,9.8,28.3,8,10
hdo,2015,5,3,a0,0,9,12.8,8.1,4.5
hdo,2015,5,3,b0,0,8.9,14.5,8.1,4.5
hdo,2015,5,3,b1,1,9.1,18,8.1,4.5
hdo,2015,5,3,c0,0,9.8,21.5,8.1,4.5
hdo,2015,5,3,c1,1,10,22.4,8.1,4.5
hdo,2015,5,3,c3,3,9.9,22.4,8.1,4.5
hdo,2015,5,3,d0,0,9.9,21.6,8.1,4.5
hdo,2015,5,3,d1,1,10,22.4,8.1,4.5
hdo,2015,5,3,d5,5,9.9,22.4,8.1,4.5
hdo,2015,5,3,d10,10,9.9,22.4,8.1,4.5
pba,2015,5,3,a0,0,10.1,21.8,7.9,0
pba,2015,5,3,b0,0,10.1,22.8,8,0
pba,2015,5,3,b1,1,10.2,22.6,9.9,0
pba,2015,5,3,c0,0,10.1,22.8,8,0
pba,2015,5,3,c1,1,10.2,22.6,9.9,0
pba,2015,5,3,c3,1,10.2,22.6,9.9,0
pba,2015,5,3,d0,0,9.9,22.3,8.1,0
pba,2015,5,3,d1,1,10.1,22.5,8.1,0
pba,2015,5,3,d5,5,10.3,22.8,8,0
pba,2015,5,3,d10,10,10.3,22.8,8.1,0
chp,2015,5,4,a0,0,10,26.9,7.7,0
chp,2015,5,4,b0,0,9.9,27.1,7.9,0
chp,2015,5,4,b1,1,9.8,27.1,9.9,0
chp,2015,5,4,c0,0,9.8,27.2,8,0
chp,2015,5,4,c1,1,9.8,27.2,8,0
chp,2015,5,4,c3,1.5,9.8,27.2,8,0
chp,2015,5,4,d0,0,9.8,26.8,8,0
chp,2015,5,4,d1,1,9.8,26.9,8,0
chp,2015,5,4,d5,5,9.8,27.1,8,0
chp,2015,5,4,d10,10,9.8,27.1,8,0
ppo,2015,5,20,a0,0,10.9,22.7,8.1,3.5
ppo,2015,5,20,b0,0,10.8,24,8.2,3.5
ppo,2015,5,20,b1,1,10.9,24.1,8.2,3.5
ppo,2015,5,20,c0,0,10.9,24,8.2,3.5
ppo,2015,5,20,c1,1,10.9,24.1,8.2,3.5
ppo,2015,5,20,c3,3,10.8,24.4,8.1,3.5
ppo,2015,5,20,d0,0,10.9,24,8.2,3.5
ppo,2015,5,20,d1,1,10.9,24.1,8.2,3.5
ppo,2015,5,20,d5,5,10,24.6,8,3.5
ppo,2015,5,20,d10,10,9.4,24.8,7.9,3.5
pba,2015,5,20,a0,0,11.4,24.2,8.2,3.5
pba,2015,5,20,b0,0,11.4,24.2,8.2,3.5
pba,2015,5,20,b1,1,11.4,24.2,8.2,3.5
pba,2015,5,20,c0,0,11.3,24.1,8.1,3.5
pba,2015,5,20,c1,1,11.3,24.2,8.2,3.5
pba,2015,5,20,c3,1.8,11.3,24.2,8.2,3.5
pba,2015,5,20,d0,0,10.9,24.1,8.2,3.5
pba,2015,5,20,d1,1,10.8,24.2,8.2,3.5
pba,2015,5,20,d5,5,10.9,24.3,8.2,3.5
pba,2015,5,20,d10,10,9.8,24.6,8,3.5
fei8,2015,5,21,a0,0,15.8,10.9,8.1,10
fei8,2015,5,21,b0,0,15.9,15.3,8.1,10
fei8,2015,5,21,b1,1,14,21.7,8.1,10
fei8,2015,5,21,c0,0,15.9,3.4,8.2,10
fei8,2015,5,21,c1,0,14.3,21.5,8.2,10
fei8,2015,5,21,c3,2,12.4,22.3,8.2,10
fei8,2015,5,21,d0,0,15.7,9.9,8.2,10
fei8,2015,5,21,d1,1,13.8,21.5,8.2,10
fei8,2015,5,21,d5,5,10.5,23.3,8.1,10
fei8,2015,5,21,d10,10,9.6,23.8,7.7,10
fei9,2015,5,21,a0,0,14.7,4.5,8.2,5
fei9,2015,5,21,b0,0,14.6,8.7,8.1,5
fei9,2015,5,21,b1,1,13.8,21.1,8.2,5
fei9,2015,5,21,c0,0,14.6,9,8.2,5
fei9,2015,5,21,c1,0,13.7,21.8,8.2,5
fei9,2015,5,21,c3,2,12.8,22.5,8.2,5
fei9,2015,5,21,d0,0,14.8,12,8.2,5
fei9,2015,5,21,d1,1,14.4,20.6,8.3,5
fei9,2015,5,21,d5,5,10.4,23.7,8,5
fei9,2015,5,21,d10,10,9.6,24.1,7.8,5
kis7,2015,5,23,a0,0,11.6,26.7,8,6.5
kis7,2015,5,23,b0,0,11.2,26.7,7.9,6.5
kis7,2015,5,23,b1,1,11.1,26.7,7.9,6.5
kis7,2015,5,23,c0,0,11.3,26.9,7.9,6.5
kis7,2015,5,23,c1,1,11.1,26.7,7.9,6.5
kis7,2015,5,23,c3,2,11,26.7,7.9,6.5
kis7,2015,5,23,d0,0,11.7,26.7,8,6.5
kis7,2015,5,23,d1,1,11.5,26.7,8,6.5
kis7,2015,5,23,d5,5,11.1,26.7,8,6.5
kis7,2015,5,23,d10,10,11,26.7,8,6.5
ssp,2015,5,31,a0,0,10.1,27.1,7.9,>10
ssp,2015,5,31,b0,0,10.1,27,7.9,>10
ssp,2015,5,31,b1,1,10.1,27,7.9,>10
ssp,2015,5,31,c0,0,10.1,27.1,7.9,>10
ssp,2015,5,31,c1,1,10.1,27.1,7.9,>10
ssp,2015,5,31,c3,1.3,10.1,27.1,7.9,>10
ssp,2015,5,31,d0,0,10.1,27.3,7.9,>10
ssp,2015,5,31,d1,1,10,27.3,7.9,>10
ssp,2015,5,31,d5,5,9.9,27.3,7.9,>10
ssp,2015,5,31,d10,10,9.8,27.3,7.9,>10
wfb,2015,5,31,a0,0,10.4,26.7,7.8,>10
wfb,2015,5,31,b0,0,10.4,26.9,7.9,>10
wfb,2015,5,31,b1,1,10.4,26.9,7.9,>10
wfb,2015,5,31,c0,0,10.2,27,7.9,>10
wfb,2015,5,31,c1,1,10.2,27,7.9,>10
wfb,2015,5,31,c3,3,10.2,27,7.9,>10
wfb,2015,5,31,d0,0,9.9,27.2,7.9,>10
wfb,2015,5,31,d1,1,9.9,27.2,7.9,>10
wfb,2015,5,31,d5,5,9.6,27.4,7.8,>10
wfb,2015,5,31,d10,10,9.4,27.5,7.8,>10
koe1,2015,6,1,a0,0,15,17.1,8,5
koe1,2015,6,1,b0,0,14.9,17.1,8.1,5
koe1,2015,6,1,b1,1,15,17.2,8.1,5
koe1,2015,6,1,c0,0,14.9,16.9,8,5
koe1,2015,6,1,c1,1,15,17,8.1,5
koe1,2015,6,1,c3,1.5,14.7,17.9,8.1,5
koe1,2015,6,1,d0,0,15.1,16.7,8,5
koe1,2015,6,1,d1,1,15,17.4,8.1,5
koe1,2015,6,1,d5,5,9.9,26.1,8,5
koe1,2015,6,1,d10,10,9.5,26.4,7.9,5
koe3,2015,6,1,a0,0,14.9,17.3,7.2,5
