,LCT_shared,gamma_error,all_species,mean_biodensBS,max_biodensBS,max_prop_biodensBS,mean_read_eDNA,max_read_eDNA,prev_bs,prev_eDNA,grp,prefered habitat,prefered depth,expected
1,Ammodytes1,both,"Ammodytes hexapterus, Ammodytes personatus",6.046777484,214.9449399,0.97272008,5595.108696,36887,23,42,both_m,soft substrates,shallow (juvenile),y
2,Amphistichus rhodoterus,both,Amphistichus rhodoterus,0.042374863,1.949243717,0.335193088,1.152173913,53,1,1,both_m,exposed beaches,shallow,y
3,Anarrhichthys ocellatus,eDNA only,Anarrhichthys ocellatus,0,0,0,145.2391304,1908,0,19,NA,rocky,all depths,n
4,Anoplarchus1,both,"Anoplarchus insignis, Anoplarchus purpurescens",0.000382989,0.011138614,0.0043926,1606.413043,9403,4,43,eDNA_m,vegetated/rocky,shallow,y
5,Anoplopoma fimbria,eDNA only,Anoplopoma fimbria,0,0,0,22.82608696,984,0,3,NA,soft sediments,shallow (juvenile),y
6,Apodichthys flavidus,both,Apodichthys flavidus,0.012448261,0.170631275,0.02906492,1425.173913,21240,25,35,both_m,vegetated,shallow,y
7,Artedius1,both,"Artedius fenestralis, Artedius harringtoni, Artedius lateralis",0.010701923,0.21163697,0.012413766,946.6304348,3468,10,44,eDNA_m,generalist,shallow,y
8,Ascelichthys rhodorus,both,Ascelichthys rhodorus,0.018219508,0.838097387,0.155023116,181.6956522,2065,1,15,eDNA_m,rocky,shallow,n
9,Aulorhynchus flavidus,both,Aulorhynchus flavidus,0.024876261,0.879085712,0.104257424,345.8695652,3668,24,26,NP,vegetated,shallow,y
10,Blepsias cirrhosus,both,Blepsias cirrhosus,0.030883244,0.650826422,0.074075792,28.60869565,500,18,6,BS_m,vegetated,shallow,y
11,Brachyistius frenatus,both,Brachyistius frenatus,0.000940705,0.019371187,0.00419576,123.4565217,854,5,22,eDNA_m,vegetated/rocky,shallow,y
12,Brosmophycis marginata,eDNA only,Brosmophycis marginata,0,0,0,6.130434783,138,0,4,NA,rocky,shallow,n
13,Chitonotus pugetensis,both,Chitonotus pugetensis,0.003352432,0.071080669,0.046362213,52.89130435,463,7,11,eDNA_m,soft sediments,all depths,y
14,Citharichthys1,both,"Citharichthys sordidus, Citharichthys stigmaeus",0.24869482,1.306984952,0.256798383,749.7391304,6957,41,41,both_m,soft sediments,shallow (juvenile),y
15,Clevelandia ios,eDNA only,Clevelandia ios,0,0,0,21.5,260,0,8,NA,soft sediments,shallow,y
16,Clinocottus acuticeps,both,Clinocottus acuticeps,4.45813870447687e-05,0.001186127,5.74575405427984e-05,15.34782609,199,2,8,eDNA_m,generalist,shallow,y
17,Clinocottus globiceps,eDNA only,Clinocottus globiceps,0,0,0,82.86956522,863,0,20,NA,rocky,shallow,n
18,Clupea pallasii,both,Clupea pallasii,0.304235868,12.29285483,0.644062003,18405.6087,65198,12,46,eDNA_m,generalist,shallow (juvenile),y
19,Cottus asper,eDNA only,Cottus asper,0,0,0,807.9565217,9829,0,29,NA,freshwater/estuarine,shallow,n
20,Cottus perplexus,eDNA only,Cottus perplexus,0,0,0,0.239130435,11,0,1,NA,freshwater,shallow,n
21,Cottus1,eDNA only,"Cottus aleuticus, Cottus cognatus",0,0,0,85.26086957,1288,0,10,NA,freshwater/estuarine,shallow,n
22,Cryptacanthodes giganteus,eDNA only,Cryptacanthodes giganteus,0,0,0,0.195652174,9,0,1,NA,soft sediments,shallow (juvenile),y
23,Cymatogaster aggregata,both,Cymatogaster aggregata,3.927315632,40.26254075,0.969080818,14557.41304,49926,36,46,both_m,nearshore generalist,shallow,y
24,Embiotoca lateralis,both,Embiotoca lateralis,0.07680731,1.39818378,0.465537962,951.2391304,28025,14,34,eDNA_m,vegetated/rocky,shallow,y
25,Engraulis mordax,eDNA only,Engraulis mordax,0,0,0,165.7826087,1409,0,27,NA,open water,all sepths,n
26,Enophrys bison,both,Enophrys bison,0.01587301,0.195380806,0.047980319,373.9782609,2772,20,32,NP,generalist,shallow (juvenile),y
27,Eopsetta jordani,eDNA only,Eopsetta jordani,0,0,0,1.652173913,76,0,1,NA,soft sediments,shallow (juvenile),y
