level,LCT,order,family,genus,species,all_species
species,Ammodytes personatus,Perciformes,Ammodytidae,Ammodytes,Ammodytes personatus,Ammodytes personatus
species,Amphistichus rhodoterus,Perciformes,Embiotocidae,Amphistichus,Amphistichus rhodoterus,Amphistichus rhodoterus
species,Anarrhichthys ocellatus,Perciformes,Anarhichadidae,Anarrhichthys,Anarrhichthys ocellatus,Anarrhichthys ocellatus
species,Anoplopoma fimbria,Scorpaeniformes,Anoplopomatidae,Anoplopoma,Anoplopoma fimbria,Anoplopoma fimbria
species,Apodichthys flavidus,Perciformes,Pholidae,Apodichthys,Apodichthys flavidus,Apodichthys flavidus
species,Artedius fenestralis,Scorpaeniformes,Cottidae,Artedius,Artedius fenestralis,Artedius fenestralis
species,Artedius harringtoni,Scorpaeniformes,Cottidae,Artedius,Artedius harringtoni,Artedius harringtoni
species,Artedius lateralis,Scorpaeniformes,Cottidae,Artedius,Artedius lateralis,Artedius lateralis
species,Ascelichthys rhodorus,Scorpaeniformes,Cottidae,Ascelichthys,Ascelichthys rhodorus,Ascelichthys rhodorus
species,Aulorhynchus flavidus,Gasterosteiformes,Aulorhynchidae,Aulorhynchus,Aulorhynchus flavidus,Aulorhynchus flavidus
species,Blepsias cirrhosus,Scorpaeniformes,Hemitripteridae,Blepsias,Blepsias cirrhosus,Blepsias cirrhosus
species,Brachyistius frenatus,Perciformes,Embiotocidae,Brachyistius,Brachyistius frenatus,Brachyistius frenatus
species,Brosmophycis marginata,Ophidiiformes,Bythitidae,Brosmophycis,Brosmophycis marginata,Brosmophycis marginata
species,Chitonotus pugetensis,Scorpaeniformes,Cottidae,Chitonotus,Chitonotus pugetensis,Chitonotus pugetensis
species,Citharichthys sordidus,Pleuronectiformes,Paralichthyidae,Citharichthys,Citharichthys sordidus,Citharichthys sordidus
species,Citharichthys stigmaeus,Pleuronectiformes,Paralichthyidae,Citharichthys,Citharichthys stigmaeus,Citharichthys stigmaeus
species,Clevelandia ios,Perciformes,Gobiidae,Clevelandia,Clevelandia ios,Clevelandia ios
species,Clinocottus acuticeps,Scorpaeniformes,Cottidae,Clinocottus,Clinocottus acuticeps,Clinocottus acuticeps
species,Clinocottus globiceps,Scorpaeniformes,Cottidae,Clinocottus,Clinocottus globiceps,Clinocottus globiceps
species,Clupea pallasii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,Clupea pallasii
species,Cottus asper,Scorpaeniformes,Cottidae,Cottus,Cottus asper,Cottus asper
species,Cottus perplexus,Scorpaeniformes,Cottidae,Cottus,Cottus perplexus,Cottus perplexus
species,Cryptacanthodes giganteus,Perciformes,Cryptacanthodidae,Cryptacanthodes,Cryptacanthodes giganteus,Cryptacanthodes giganteus
species,Cymatogaster aggregata,Perciformes,Embiotocidae,Cymatogaster,Cymatogaster aggregata,Cymatogaster aggregata
species,Embiotoca lateralis,Perciformes,Embiotocidae,Embiotoca,Embiotoca lateralis,Embiotoca lateralis
species,Engraulis mordax,Clupeiformes,Engraulidae,Engraulis,Engraulis mordax,Engraulis mordax
species,Enophrys bison,Scorpaeniformes,Cottidae,Enophrys,Enophrys bison,Enophrys bison
species,Eopsetta jordani,Pleuronectiformes,Pleuronectidae,Eopsetta,Eopsetta jordani,Eopsetta jordani
species,Gadus chalcogrammus,Gadiformes,Gadidae,Gadus,Gadus chalcogrammus,Gadus chalcogrammus
