PHYIDENT,REGION,SECTION,UNIT,SUBUNIT,ZONE,COMPONENT,BAR,BMU,BRE,CHB,CHB2,CHB3,CHB4,CHB5,CHB6,CHB7,DIA,FUC,GRA,HAL,HAL2,HAL3,HAL4,HAL5,HAL6,HAL7,MAC,MUS,NER,OYS,RED,RED2,RED3,RED4,RED5,RED6,RED7,SAL,SBR,SBR2,SBR3,SBR4,SBR5,SBR6,SBR7,SED,SUR,ULV,URC,VER,ZOS,FEAT_LEN,OBJECTID,SHAPE
08/08/0925/00,"8","8","925",0,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,,367.5765,117303,
08/08/0925/00,"8","8","925",0,B,1,,,,,,,,,,,,P,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,367.5765,117308,
08/08/0925/00,"8","8","925",0,B,2,,,,,,,,,,C,,,,,,,,,,,,P,P,,,,,,,,C,,,,,,,,,,C,,P,,,367.5765,117313,
08/08/0925/00,"8","8","925",0,B,3,,,,,,,,,,C,,,,,,,,,,,,,P,,,,,,,,C,,,,,,,,,,C,,P,,,367.5765,117318,
08/08/0925/00,"8","8","925",0,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,,615.7194,117304,
08/08/0925/00,"8","8","925",0,B,3,,,,,,,,,,C,,,,,,,,,,,,,P,,,,,,,,C,,,,,,,,,,C,,P,,,615.7194,117319,
08/08/0925/00,"8","8","925",0,B,2,,,,,,,,,,C,,,,,,,,,,,,P,P,,,,,,,,C,,,,,,,,,,C,,P,,,615.7194,117314,
08/08/0925/00,"8","8","925",0,B,1,,,,,,,,,,,,P,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,615.7194,117309,
08/08/0925/00,"8","8","925",0,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,,195.9220,117307,
08/08/0925/00,"8","8","925",0,B,3,,,,,,,,,,C,,,,,,,,,,,,,P,,,,,,,,C,,,,,,,,,,C,,P,,,195.9220,117322,
08/08/0925/00,"8","8","925",0,B,1,,,,,,,,,,,,P,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,195.9220,117312,
08/08/0925/00,"8","8","925",0,B,2,,,,,,,,,,C,,,,,,,,,,,,P,P,,,,,,,,C,,,,,,,,,,C,,P,,,195.9220,117317,
08/08/0925/00,"8","8","925",0,B,2,,,,,,,,,,C,,,,,,,,,,,,P,P,,,,,,,,C,,,,,,,,,,C,,P,,,316.9867,117315,
08/08/0925/00,"8","8","925",0,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,,316.9867,117305,
08/08/0925/00,"8","8","925",0,B,3,,,,,,,,,,C,,,,,,,,,,,,,P,,,,,,,,C,,,,,,,,,,C,,P,,,316.9867,117320,
08/08/0925/00,"8","8","925",0,B,1,,,,,,,,,,,,P,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,316.9867,117310,
08/08/0925/00,"8","8","925",0,B,1,,,,,,,,,,,,P,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,668.0774,117311,
08/08/0925/00,"8","8","925",0,B,2,,,,,,,,,,C,,,,,,,,,,,,P,P,,,,,,,,C,,,,,,,,,,C,,P,,,668.0774,117316,
08/08/0925/00,"8","8","925",0,B,3,,,,,,,,,,C,,,,,,,,,,,,,P,,,,,,,,C,,,,,,,,,,C,,P,,,668.0774,117321,
08/08/0925/00,"8","8","925",0,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,,668.0774,117306,
08/08/0911/00,"8","8","911",0,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,662.2386,117227,
08/08/0911/00,"8","8","911",0,B,1,P,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,662.2386,117230,
08/08/0916/00,"8","8","916",0,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,754.6170,117257,
08/08/0916/00,"8","8","916",0,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,M,,754.6170,117255,
08/08/0916/00,"8","8","916",0,B,3,,,,,,,,,,C,,,,,,,,,,,,,P,,,,,,,,C,,,,,,,,,,C,,C,,,754.6170,117258,
08/08/0916/00,"8","8","916",0,B,1,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,754.6170,117256,
08/08/0911/00,"8","8","911",0,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,278.4714,117235,
08/08/0911/00,"8","8","911",0,B,3,,,,,,,,,,C,,,,,,,,,,,,,C,,,,,,,,C,,,,,,,,,,P,,C,,,278.4714,117238,
08/08/0911/00,"8","8","911",0,B,1,P,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,278.4714,117232,
08/08/0911/00,"8","8","911",0,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,278.4714,117229,
08/08/0917/00,"8","8","917",0,B,1,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,783.8224,117260,
08/08/0917/00,"8","8","917",0,B,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,783.8224,117262,
08/08/0917/00,"8","8","917",0,B,2,,,,,,,,,,C,,,,,,,,,,,,,P,,,,,,,,C,,,,,,,,,,P,P,C,,,783.8224,117261,
