id,replicate,species,oral.gape.position,eye.size,mouth.length,eye.position,pec.fin.position,pec.fin.AR,caudal.fin.AR,caudal.ped.throttling,fin.SA.ratio,fl_tl
Acipenser_medirostris,1,y,0.066757644,0.008245727,0.013180568,0.664758603,0.067392306,3.797201034,2.258389971,5.495729677,1.254301966,1.062991815
Acipenser_transmontanus,1,y,0.096678459,0.014192056,0.013366463,0.528834497,0.164199084,4.64792558,2.127318185,4.581536854,0.961260992,1.12016038
Agonopsis_emmelane,1,y,0.29272439,0.057911731,0.062232951,0.765868293,0.482155357,1.368410173,1.028242002,3.248856926,3.882145778,1
Agonus_acipenserinus,1,y,0.05072329,0.063447567,0.06546292,0.6666876,0.610797411,1.265379379,1.011861688,3.963856483,2.996872513,1
Alepisaurus_ferox,1,y,0.379902967,0.028929052,0.107284546,0.681521858,0.20080285,5.801933486,2.009228784,5.276595745,1.046968794,1.072683516
Allocyttus,1,n,0.658187755,0.156868084,0.125577678,0.796602174,0.550818744,1.791698885,1.100134073,3.032834453,1.907622791,1
Allolumpenus_hypochromus,1,y,0.328697761,0.039037392,0.059572564,0.671682836,0.400047332,3.646294261,0.849071517,2.041770833,1.211637249,1
Allosmerus_elongatus,1,y,0.740496511,0.052951325,0.11740736,0.675635503,0.327890755,3.566573849,1.68562615,2.564231501,0.753402539,1.075084503
Alopias_vulpinus,1,y,0.271785928,0.027666309,0.064000293,0.555488565,0.150803861,3.903432951,1.540705379,4.491631199,0.441188755,1.943918
Alosa_sapidissima,1,y,0.587997854,0.052612751,0.118694276,0.738197425,0.174162775,3.52823923,1.689117762,2.564733333,0.535849682,1.088092625
Ammodytes_hexapterus,1,y,0.61361209,0.027006203,0.059994004,0.742495171,0.355199527,4.788489905,1.555255683,3.766725178,1.055045328,1.035793141
Amphistichus_koelzi,1,y,0.460255593,0.06928037,0.093941598,0.625015802,0.361057164,2.984312705,1.826023325,2.201077574,0.840016008,1.079292058
Amphistichus_rhodoterus,1,y,0.488628729,0.076643458,0.097780373,0.636379261,0.395548735,2.838021112,1.444732436,2.030089109,1.003814499,1.075114721
Anarrhichthys_ocellatus,1,y,0.533520962,0.011530304,0.027232616,0.769607912,0.422234661,1.596311555,6.28E-10,1,0.003628075,1
Anoplagonus_inermis,1,y,0.71218,0.025668328,0.045337531,0.656048,0.578647852,1.194956342,0.930759449,3.327789572,2.04475827,1
Anoplarchus_insignis,1,y,0.498448926,0.015390905,0.051862541,0.678014378,0.416682292,2.215967226,1.161599491,2.537492537,0.570168388,1
Anoplarchus_insignis,2,y,0.505454407,0.016506855,0.049414435,0.694536866,0.438430424,2.081994328,1.288083205,2.380391317,0.630051196,1
Anoplarchus_purpurescens,1,y,0.378768749,0.036478216,0.07493669,0.676733498,0.351376674,2.012341501,1.25906551,1.702939652,0.801003624,1
Anoplopoma_fimbria,1,y,0.416666667,0.031647449,0.088951997,0.733380556,0.52,2.976789196,1.769403134,4.136526029,0.605225931,1.023307703
Anotopterus_pharao,1,y,0.856290222,0.027132967,0.160665803,0.676738327,0.259602904,7.678825411,1.30086405,5.43375,0.206684698,1.035411247
Antimora_microlepis,1,y,0.602863755,0.049898557,0.13107394,0.780154653,0.502069942,4.029983355,1.054934476,3.213333333,0.724982518,1
Apodichthys_flavidus,1,y,0.474215517,0.019315098,0.027449237,0.706896552,0.395201571,1.834343003,1.55018848,2.357117269,0.431616302,1
Apristurus_brunneus,1,y,0.187856134,0.009409931,0.03010397,0.692478067,0.072787677,2.656595371,0.625429126,2.601785967,0.600493768,0.998007702
Aprodon_cortezianus,1,y,0.395940335,0.051827335,0.078950778,0.789749786,0.369828914,1.458952678,6.28E-10,1,0.020006847,1
Aptocyclus_ventricosus,1,y,0.671428571,0.055424434,0.046287453,0.86,0.466346839,0.870504621,1.137202706,1.351216464,3.980495713,1.055945381
Argyropelecus_lychnus_lychnus,1,y,0.759921979,0.12546952,0.260980393,0.807916256,0.233022451,4.612529271,2.308949003,2.350866082,0.871654031,1.0605394
