"","LCT_shared","gamma_error","all_species","mean_biodensBS","max_biodensBS","max_prop_biodensBS","mean_read_eDNA","max_read_eDNA","prev_bs","prev_eDNA","grp"
"1","Ammodytes1","both","Ammodytes hexapterus, Ammodytes personatus",6.04677748385415,214.944939903233,0.972720079969343,5595.10869565217,36887,23,42,"both_m"
"2","Amphistichus rhodoterus","both","Amphistichus rhodoterus",0.0423748634183619,1.94924371724465,0.335193088403387,1.15217391304348,53,1,1,"both_m"
"3","Anarrhichthys ocellatus","eDNA only","Anarrhichthys ocellatus",0,0,0,145.239130434783,1908,0,19,NA
"4","Anoplarchus1","both","Anoplarchus insignis, Anoplarchus purpurescens",0.000382989238718513,0.0111386143407881,0.00439260047722006,1606.41304347826,9403,4,43,"eDNA_m"
"5","Anoplopoma fimbria","eDNA only","Anoplopoma fimbria",0,0,0,22.8260869565217,984,0,3,NA
"6","Apodichthys flavidus","both","Apodichthys flavidus",0.0124482611092829,0.170631274833644,0.02906491981101,1425.17391304348,21240,25,35,"both_m"
"7","Artedius1","both","Artedius fenestralis, Artedius harringtoni, Artedius lateralis",0.0107019233313832,0.211636969842293,0.0124137659243608,946.630434782609,3468,10,44,"eDNA_m"
"8","Ascelichthys rhodorus","both","Ascelichthys rhodorus",0.0182195084223498,0.838097387428091,0.155023115957917,181.695652173913,2065,1,15,"eDNA_m"
"9","Aulorhynchus flavidus","both","Aulorhynchus flavidus",0.0248762614664139,0.879085712455807,0.1042574239111,345.869565217391,3668,24,26,"NP"
"10","Blepsias cirrhosus","both","Blepsias cirrhosus",0.0308832439128315,0.650826422076,0.0740757923931279,28.6086956521739,500,18,6,"BS_m"
"11","Brachyistius frenatus","both","Brachyistius frenatus",0.000940704783552241,0.0193711871197873,0.00419575989027027,123.45652173913,854,5,22,"eDNA_m"
"12","Brosmophycis marginata","eDNA only","Brosmophycis marginata",0,0,0,6.1304347826087,138,0,4,NA
"13","Chitonotus pugetensis","both","Chitonotus pugetensis",0.00335243187989465,0.0710806686494948,0.0463622125859909,52.8913043478261,463,7,11,"eDNA_m"
"14","Citharichthys1","both","Citharichthys sordidus, Citharichthys stigmaeus",0.248694819543773,1.30698495207094,0.256798383307851,749.739130434783,6957,41,41,"both_m"
"15","Clevelandia ios","eDNA only","Clevelandia ios",0,0,0,21.5,260,0,8,NA
"16","Clinocottus acuticeps","both","Clinocottus acuticeps",4.45813870447687e-05,0.00118612710911537,5.74575405427984e-05,15.3478260869565,199,2,8,"eDNA_m"
"17","Clinocottus globiceps","eDNA only","Clinocottus globiceps",0,0,0,82.8695652173913,863,0,20,NA
"18","Clupea pallasii","both","Clupea pallasii",0.304235867841904,12.2928548319295,0.644062002852009,18405.6086956522,65198,12,46,"eDNA_m"
"19","Cottus asper","eDNA only","Cottus asper",0,0,0,807.95652173913,9829,0,29,NA
"20","Cottus perplexus","eDNA only","Cottus perplexus",0,0,0,0.239130434782609,11,0,1,NA
"21","Cottus1","eDNA only","Cottus aleuticus, Cottus cognatus",0,0,0,85.2608695652174,1288,0,10,NA
"22","Cryptacanthodes giganteus","eDNA only","Cryptacanthodes giganteus",0,0,0,0.195652173913043,9,0,1,NA
"23","Cymatogaster aggregata","both","Cymatogaster aggregata",3.92731563245153,40.2625407478852,0.969080817930511,14557.4130434783,49926,36,46,"both_m"
"24","Embiotoca lateralis","both","Embiotoca lateralis",0.0768073097045283,1.39818377995803,0.465537961967055,951.239130434783,28025,14,34,"eDNA_m"
"25","Engraulis mordax","eDNA only","Engraulis mordax",0,0,0,165.782608695652,1409,0,27,NA
"26","Enophrys bison","both","Enophrys bison",0.0158730099353026,0.195380805531005,0.0479803192165526,373.978260869565,2772,20,32,"NP"
"27","Eopsetta jordani","eDNA only","Eopsetta jordani",0,0,0,1.65217391304348,76,0,1,NA
"28","Gadus chalcogrammus","both","Gadus chalcogrammus",9.88848080624946e-05,0.00454870117087475,0.000841374570125278,53.5,635,1,13,"eDNA_m"
"29","Gadus macrocephalus","both","Gadus macrocephalus",0.000772146886581566,0.0314726419017263,0.00164895242442949,5.32608695652174,186,2,2,"NP"
"30","Gasterosteus aculeatus","both","Gasterosteus aculeatus",0.28371741393827,8.80149047007949,0.195594849944997,3471.58695652174,34390,16,39,"eDNA_m"
"31","Gibbonsia metzi","BS only","Gibbonsia metzi",9.57056033325103e-06,0.000231400695637649,0.000125511237406781,0,0,2,0,NA
"32","Gibbonsia montereyensis","eDNA only","Gibbonsia montereyensis",0,0,0,53.4130434782609,794,0,9,NA
"33","Glyptocephalus zachirus","eDNA only","Glyptocephalus zachirus",0,0,0,1.78260869565217,82,0,1,NA
"34","Gobiesox maeandricus","both","Gobiesox maeandricus",5.02348949428516e-05,0.000784722931897421,0.000484305644543003,271.45652173913,2313,5,31,"eDNA_m"
"35","Hemilepidotus hemilepidotus","both","Hemilepidotus hemilepidotus",0.0202386377146528,0.600977539704069,0.0364939796126348,417.739130434783,3490,11,35,"eDNA_m"
"36","Hemilepidotus spinosus","eDNA only","Hemilepidotus spinosus",0,0,0,21.7608695652174,473,0,6,NA
"37","Hexagrammos decagrammus","both","Hexagrammos decagrammus",0.146959295930938,1.69223928624743,0.213535818116527,1909.54347826087,15188,19,40,"eDNA_m"
"38","Hexagrammos stelleri","BS only","Hexagrammos stelleri",0.00995872181610196,0.118590793013178,0.0238034852271891,0,0,8,0,NA
"39","Hexagrammos1","both","Hexagrammos lagocephalus, Hexagrammos octogrammus",0.0863905052756485,2.82903987805768,0.163879749284375,421.804347826087,4040,5,37,"eDNA_m"
"40","Hippoglossoides elassodon","eDNA only","Hippoglossoides elassodon",0,0,0,4.76086956521739,130,0,3,NA
"41","Hippoglossus stenolepis","eDNA only","Hippoglossus stenolepis",0,0,0,142.673913043478,5681,0,5,NA
"42","Hydrolagus colliei","eDNA only","Hydrolagus colliei",0,0,0,16.4347826086957,259,0,15,NA
